site_description,site,unit,unitclass,commodity_group,commodity_description,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M,source
Itasca,SPN,CWT,Weight,1VNL,LVP,0.6065180191766739,0.16292028415576057,0.09213467930586447,0.06070726983213327,0.042814959868358794,0.04993256101033192,0.0326823488801521,0.038681147133424125,,,hist_avg
Itasca,SPN,CWT,Weight,1VNL,LVP,0.4286697337894686,0.15757678476110284,0.08961603665552757,0.05985197640683395,0.04279032849047035,0.050808731943612157,0.03121491301321044,0.039098851669315635,,,hist_wavg
Itasca,SPN,CWT,Weight,1VNL,LVP,0.9683213778596222,0.1378447104439204,0.08420719607886379,0.06258433390689062,0.06258535125047875,0.04968844809433062,0.0391691978158845,0.02893656423387075,,,xgs_avg
Itasca,SPN,CWT,Weight,1VNL,LVP,0.43742545187631815,0.13429686860776308,0.08397513369739741,0.06258440132776898,0.06258530860029156,0.04968848739180873,0.038664178558249974,0.028651083262521734,,,xgs_wavg
Itasca,SPN,CWT,Weight,1VNL,LVP,-0.008755718086849551,0.02327991615333977,0.005640902958130162,-0.002732424920935027,-0.01979498010982121,0.0011202445518034287,-0.007449265545039534,0.0104477684067939,,,variance
Itasca,DIT,CWT,Weight,1VNL,LVT,0.2827,0.2325,0.1748,0.1388,0.1388,0.09849999999999999,0.0717,0.0717,0.0717,0.0717,vendor
Itasca,DIT,CWT,Weight,1VNL,LVT,0.9477452515541955,0.18994151616547225,0.19939186000523368,0.10397661938289851,0.2055653884440318,0.0897086816919074,,0.0653003850024466,,,hist_avg
Itasca,DIT,CWT,Weight,1VNL,LVT,1.4699411004470424,0.18694001038764027,0.20146443747358062,0.10352118774929252,0.2032898668085396,0.0897086816919074,,0.0653003850024466,,,hist_wavg
Itasca,DIT,CWT,Weight,1VNL,LVT,1.0198912411574705,0.23244640253861362,0.174756281863644,0.1387682039904422,0.138766679389838,0.0984767179432821,,0.0716829315581981,,,xgs_avg
Itasca,DIT,CWT,Weight,1VNL,LVT,0.4995232949850623,0.23244617089051267,0.17475639057598552,0.1387681970518689,0.1387666845432806,0.0984767179432821,,0.0716829315581981,,,xgs_wavg
Itasca,DIT,CWT,Weight,1VNL,LVT,0.9704178054619801,-0.0455061605028724,0.026708046897595095,-0.03524700930257639,0.06452318226525902,-0.008768036251374692,,-0.006382546555751503,,,variance
Spectra Coppell,SPCP,CWT,Weight,1VNL,LVT,0.26530000000000004,0.2418,0.19269999999999998,0.161,0.161,0.1258,0.1057,0.1057,0.1057,0.1057,vendor
Itasca,SPCP,CWT,Weight,1VNL,LVT,0.5526760821678248,0.4004726637620384,0.2454083292874852,0.24968596543969573,0.15829801592147663,0.216834596918101,0.142163284539502,,,,hist_avg
Itasca,SPCP,CWT,Weight,1VNL,LVT,0.467971085603176,0.3754912794725432,0.24690139328191588,0.25590245178766496,0.15850445405286015,0.216834596918101,0.1420668217483838,,,,hist_wavg
Itasca,SPCP,CWT,Weight,1VNL,LVT,0.5604992880738952,0.24174233736763184,0.19265497909293464,0.16096204006353487,0.1609624989027106,0.125770228036793,0.105675336907923,,,,xgs_avg
Itasca,SPCP,CWT,Weight,1VNL,LVT,0.46161801695975613,0.24174273120408898,0.19265493306936543,0.16096205346836326,0.16096248380259878,0.125770228036793,0.1056753315829466,,,,xgs_wavg
Itasca,SPCP,CWT,Weight,1VNL,LVT,0.00635306864341989,0.1337485482684542,0.054246460212550446,0.0949403983193017,-0.0024580297497386328,0.091064368881308,0.036391490165437204,,,,variance
