part_no,part_description,new_commodity_description
189621-025,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Nordic Oak (SS5W2550),LVT
189621-027,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Pale Cherry (SS5W2525),LVT
189621-034,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Smoked Cedar (SS5W2536),LVT
189621-045,Mannington-Spacia Wood (Xtra)-Beveled Edge-7 1/4in x 48in-2.5 MM-Weathered Oak (SS5W2524),LVT
189621-051,Mannington-Spacia Wood (Xtra)-Beveled Edge-7 1/4in x 48in-2.5 MM-Coastal Pine (SS5W3029),LVT
189621-052,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Sash Oak (SS5W3032),LVT
189621-053,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Bruges Oak (SS5W3034),LVT
189621-055,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Drift Pine (SS5W3027),LVT
189621-059,Mannington Spacia Wood (Xtra) Beveled Edge 7 1/4in x 48in 2.5 MM - Haven Oak (SS5W3033),LVT
189827-002,Shaw Commercial Hard Surfaces Rethink (0733V) LVT Plank 9in x 36in - Structure (33150),LVT
189827-003,Shaw Commercial Hard Surfaces Rethink (0733V) LVT Plank 9in x 36in - Minimal (33155),LVT
189827-007,Shaw Commercial Hard Surfaces Rethink (0733V) LVT Plank 9in x 36in - Core (33515),LVT
189937-006,Parterre Vinyl Floor System Ingrained 6in Vinyl Tile Plank 6in x 36in 3 MM - Antique Chestnut (11421),LVP
189937-008,Parterre Vinyl Floor System Ingrained 6in Vinyl Tile Plank 6in x 36in 3 MM - Canyon Oak (11815),LVP
189937-010,Parterre Vinyl Floor System Ingrained 6in Vinyl Tile Plank 6in x 36in 3 MM - Sessile Oak (11824),LVP
189937-031,Parterre Vinyl Floor System Ingrained 6in Vinyl Tile Plank 6in x 36in 3 MM - Natural Ash (21571),LVP
189946-018,Interface-Textured Woodgrains (A004)-High Performance LVT-25cm x 1m-5.0mm-Antique Dark Oak (A00416),LVT
189954-002,Mannington Divergent Fen Luxury Vinyl Plank 18in x 18in 2.5 MM - Cumulus (13506),LVP
189954-004,Mannington Divergent Fen Luxury Vinyl Plank 18in x 18in 2.5 MM - Gossamer (13500),LVP
189954-014,Mannington Divergent Fen Luxury Vinyl Plank 18in x 18in 2.5 MM - Blue Thistle (13564),LVT
190084-001,Shaw Contract-Unveil (0601V)-3mm Luxury Vinyl Tile-9in x 36in-3 MM-Faded (01103),LVT
190084-002,Shaw Commercial Hard Surfaces-Unveil (0601V)-30 mil Luxury Vinyl Tile-9in x 36in-3 MM-Bleached (01111),LVT
190084-004,Shaw Commercial Hard Surfaces Unveil (0601V) 30 mil Luxury Vinyl Tile 9in x 36in 3 MM - Patina (01326),LVT
190084-005,Shaw Commercial Hard Surfaces Unveil (0601V) 30 mil Luxury Vinyl Tile 9in x 36in 3 MM - Weathered (01405),LVT
190084-006,Shaw Commercial Hard Surfaces Unveil (0601V) 30 mil Luxury Vinyl Tile 9in x 36in 3 MM - Burnish (01486),LVT
190084-007,Shaw Commercial Hard Surfaces-Unveil (0601V)-30 mil Luxury Vinyl Tile-9in x 36in-3 MM-Oxidize (01504),LVT
190084-008,Shaw Commercial Hard Surfaces-Unveil (0601V)-30 mil Luxury Vinyl Tile-9in x 36in-3 MM-Alter (01518),LVT
190084-009,Shaw Commercial Hard Surfaces Unveil (0601V) 30 mil Luxury Vinyl Tile 9in x 36in 3 MM - Grit (01530),LVT
190084-010,Shaw Commercial Hard Surfaces Unveil (0601V) 30 mil Luxury Vinyl Tile 9in x 36in 3 MM - Tinted (01535),LVT
190084-011,Shaw Commercial Hard Surfaces Unveil (0601V) 30 mil Luxury Vinyl Tile 9in x 36in 3 MM - Char (01555),LVT
190084-012,Shaw Commercial Hard Surfaces Unveil (0601V) 30 mil Luxury Vinyl Tile 9in x 36in 3 MM - Tarnish (01585),LVT
190556-072,Armstrong Natural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 6in x 36in 0.125 - WEATHERED ARBOR FAWN (NA236),LVT
190556-080,Armstrong tural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 6in x 36in .125 - Avila OakMoroccan Sand (NA190),LVT
190556-086,Armstrong Luxury Vinyl Natural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 6in x 36in .125,LVT
190556-096,Armstrong tural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 6in x 36in .125 - TUSTIN NAVALE SAND DUNES (NA226),LVT
190557-001,Shaw Commercial Hard Surfaces Intricate (0692V) Luxury Vinyl Tile 12in x 24in 2.5 MM - Bone (92156),LVT
190557-007,Shaw Commercial Hard Surfaces Intricate (0692V) Luxury Vinyl Tile 12in x 24in 2.5 MM - Mirror (92535),LVT
190628-015,Armstrong tural Creations ArborArt Diamond 10 Solid/Luxury Vinyl 9in x 48in .125 - Galena Oak Rye (NA180),LVT
190819-004,Shaw Patcraft AdMix 36x36 (I347V) Homogeneous Vinyl 36in x 36in 3.2 MM - Sundial (00130),VCT
190819-010,Shaw Patcraft AdMix 36x36 (I347V) Homogeneous Vinyl 36in x 36in 3.2 MM - Dove Shell (00720),VCT
190847-000,Mannington M-Guard V-88 Luxury Vinyl Tile 1 Gallon,LVT
191116-001,Interface-Level Set Textured Woodgrains (A004)-Luxury Vinyl Plank 22 mil-25cm x 1m-4.5 mm-Distressed Walnut (A00401),LVP
191116-002,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Distressed Cashew (A00402),LVP
191116-005,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Grey Dune (A00405),LVP
191116-006,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Antique Light Oak (A00406),LVP
191116-007,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - White Wash (A00407),LVP
191116-008,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Antique Gray Oak (A00408),LVP
191116-009,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Ash Walnut (A00409),LVP
191116-013,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Antique Oak (A00415),LVP
191116-019,Interface-Level Set Textured Woodgrains (A004)-Luxury Vinyl Plank-25cm x 1m-4.5 mm-Sugarpine (A00426),LVP
191116-021,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Greywood (A00429),LVP
191116-024,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Rustic Cashew (A00420),LVP
191116-025,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Rustic Hickory (A00422),LVP
191116-026,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Charcoal Dune (A00418),LVP
191116-027,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Antique Dark Oak (A00416),LVP
191156-002,Armstrong tural Creations EarthCuts Diamond 10 Luxury Vinyl Tile 12in x 24in 3.2 MM - BRACO MORTAR (NA331),LVT
191255-002,Mannington Adura Max Micro-bevel LockSolid 6in x 48in 8.0 MM - ACACIA TIGER'S EYE (MAX011),LVT
191255-035,Mannington Adura Max Micro-bevel LockSolid 6in x 48in 8.0 MM - Swiss Oak Almond (MAX740),LVT
191394-015,Armstrong Parallel 20 Luxury Vinyl Tile 6in x 48in .100 - Glendale Oak silver Fox (J5216),LVT
191437-004,Interface-Textured Stones (A003   22 mil)-High Performance LVT-50cm x 50cm-4.5 mm-Warm Polished Cement (A00303),LVT
191437-007,Interface Textured Stones (A003 22 mil) High Performance LVT 50cm x 50cm 4.5 mm - Medium Concrete (A00309),LVT
191437-008,Interface-Textured Stones (A003   22 mil)-High Performance LVT-50cm x 50cm-4.5 mm-Dark Concrete (A00310),LVT
191437-009,Interface-Textured Stones (A003   22 mil)-High Performance LVT-50cm x 50cm-4.5 mm-Light Concrete (A00308),LVT
191531-001,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Shade (00564),LVP
191531-002,Shaw Commercial Hard Surfaces-Terrain II 12 MIL (0453V)-LVT-6in x 48in-2.5 MM-Root (00568),LVT
191531-003,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Timber (00572),LVT
191531-004,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Nest (00774),LVT
191531-005,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Echo (00775),LVT
191531-006,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Grove (00769),LVT
191531-008,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Alder (07005),LVT
191531-009,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Ash (00174),LVT
191531-010,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Aspen (05019),LVT
191531-011,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Lark (05016),LVT
191531-012,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Orchard (05013),LVT
191531-015,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Sumac (07004),LVT
191531-016,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Summit (05012),LVT
191531-018,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Thicket (07008),LVT
191531-019,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Trail (00256),LVT
191531-020,Shaw Commercial Hard Surfaces-Terrain II 12 MIL (0453V)-LVT-6in x 48in-2.5 MM-Willow (00170),LVT
191562-001,Mohawk-Hot & Heavy Grown Up (C0075)-Loose Lay-9in x 59in-5.0mm-Vera (132),LVT
191562-002,Mohawk Hot & Heavy Grown Up (C0075) Loose Lay 9in x 59in 5.0mm - Kingley (138),LVT
191562-004,Mohawk Hot & Heavy Grown Up (C0075) Loose Lay 9in x 59in 5.0mm - Finn (322),LVT
191562-009,Mohawk Hot & Heavy Grown Up (C0075) Loose Lay 9in x 59in 5.0mm - Emerson (853),LVT
191562-010,Mohawk Hot & Heavy Grown Up (C0075) Loose Lay 9in x 59in 5.0mm - Cole (958),LVT
191603-011,Raskin Industries-Formations Prodigy (Prodigy FPP)-20 Mil Bevel Dry Back-7.25in x 48in-3 MM-Farmington (5205KR),LVP
191603-013,Raskin Industries Formations Prodigy (Prodigy FPP) 20 Mil Bevel Dry Back 7.25in x 48in 3 MM - Rockford (5206KR),LVP
191650-010,DuChateau Floors DeLuxe Grand 20 Mil LuxCor w/ HushWalk Bevel Click 9in x 60in 8.0 MM - GILLION (VDG-GIL9),VCT
191758-002,Karndean Longboard 20 mil LooseLay 10in x 59in 4.5 mm - WEATHERED HEART PINE (LLP304),VCT
191758-008,Karndean-Longboard-20 mil LooseLay-10in x 59in-4.5 mm-LEMON SPOTTED GUM (LLP317),LVT
191770-001,Six Degrees Flooring Surfaces Compass 28 Mil Embossed Glue Down 6in x 48in 3 MM - BROOKLYN (CP233_C91),VCT
191770-019,Six Degrees Flooring Surfaces Compass 28 Mil Embossed Glue Down 6in x 48in 3 MM - PORTLAND (CP236_C13),VCT
191791-006,Armstrong Crown Texture (Premium Excelon Crown Tex) Vinyl Composition 12in x 12in 3.2 MM - COOL WHITE (5C899),VCT
191791-013,Armstrong Crown Texture (Premium Excelon Crown Tex) Vinyl Composition 12in x 12in 3.2 MM - LINSEED (5C236),VCT
191791-021,Armstrong Crown Texture (Premium Excelon Crown Tex) Vinyl Composition 12in x 12in 3.2 MM - PEARL WHITE (5C803),VCT
191791-023,Armstrong-Crown Texture (Premium Excelon Crown Tex)-Vinyl Composition-12in x 12in-3.2 MM-PEWTER (5C908),VCT
191791-027,Armstrong Crown Texture (Premium Excelon Crown Tex) Vinyl Composition 12in x 12in 3.2 MM - SILK (5C234),VCT
191791-032,Armstrong Crown Texture (Premium Excelon Crown Tex) Vinyl Composition 12in x 12in 3.2 MM - STERLING (5C904),VCT
191822-000,J&J Classics (V5000) 20 mil Heavy Commercial 9in x 48in 3 MM - Heirloom,VCT
191822-001,J&J Classics (V5000) 20 mil Heavy Commercial 9in x 48in 3 MM - Notable (1000),VCT
191822-004,J&J Classics (V5000) 20 mil Heavy Commercial 9in x 48in 3 MM - Heirloom (1003),VCT
191822-005,J&J Classics (V5000) 20 mil Heavy Commercial 9in x 48in 3 MM - Exemplar (1004),VCT
191822-008,J&J Classics (V5000) 20 mil Heavy Commercial 9in x 48in 3 MM - Curio (1007),VCT
191822-010,J&J Classics (V5000) 20 mil Heavy Commercial 9in x 48in 3 MM - Heritage (1009),VCT
191889-001,Shaw Patcraft Timber Grove II (I420V) 12 Mil Glue Down 6in x 48in 2.5 MM - Juniper (00559),VCT
191889-002,Shaw Patcraft Timber Grove II (I420V) 12 Mil Glue Down 6in x 48in 2.5 MM - Hedgerow (00564),VCT
191889-004,Shaw Patcraft Timber Grove II (I420V) 12 Mil Glue Down 6in x 48in 2.5 MM - Hemlock (00572),VCT
191889-005,Shaw Patcraft Timber Grove II (I420V) 12 Mil Glue Down 6in x 48in 2.5 MM - Frontier (00774),VCT
191889-008,Shaw Patcraft-Timber Grove II (I420V)-12 Mil Glue Down-6in x 48in-2.5 MM-Sprout (00173),VCT
191889-009,Shaw Patcraft-Timber Grove II (I420V)-12 Mil Glue Down-6in x 48in-2.5 MM-Heather (00174),VCT
191889-010,Shaw Patcraft Timber Grove II (I420V) 12 Mil Glue Down 6in x 48in 2.5 MM - Shady Grove (05012),VCT
191889-011,Shaw Patcraft Timber Grove II (I420V) 12 Mil Glue Down 6in x 48in 2.5 MM - Yarrow (05013),VCT
191889-012,Shaw Patcraft-Timber Grove II (I420V)-12 Mil Glue Down-6in x 48in-2.5 MM-Inkberry (05016),VCT
191889-015,Shaw Patcraft Timber Grove II (I420V) 12 Mil Glue Down 6in x 48in 2.5 MM - Topiary (07004),VCT
191889-017,Shaw Patcraft Timber Grove II (I420V) 12 Mil Glue Down 6in x 48in 2.5 MM - Trellis (07007),VCT
191893-017,Interface tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Sand Dune (A00208),LVP
192095-000,Tarkett-100 Clear Thin Spread-VCT Dry Set (100)-4 Gallon,VCT
192103-001,Interface Level Set tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Black Walnut (A00201),LVP
192103-003,Interface Level Set tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Chestnut (A00203),LVP
192103-004,Interface Level Set tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Beech (A00204),LVP
192103-005,Interface Level Set tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Storm (A00205),LVP
192103-007,Interface Level Set tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Washed Wheat (A00207),LVP
192103-008,Interface Level Set tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Sand Dune (A00208),LVP
192103-010,Interface-Level Set Natural Woodgrains (A002)-Luxury Vinyl Plank 22 mil-25cm x 1m-4.5 mm-Teak (A00210),LVP
192103-012,Interface-Level Set Natural Woodgrains (A002)-Luxury Vinyl Plank 22 mil-25cm x 1m-4.5 mm-Cedar (A00212),LVP
192170-004,Shaw Philadelphia In The Grain II (5524V) 12 Mil Dryback 6in x 48in 2.5 MM - Freekeh (00564),VCT
192174-001,Shaw Philadelphia In The Grain II (5525V) Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM - Rye (00116),LVT
192174-002,Shaw Philadelphia-In The Grain II (5525V)-Luxury Vinyl Tile 20 mil-6in x 48in-2.5 MM-Hemp (00216),LVT
192174-003,Shaw Philadelphia In The Grain II (5525V) Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM - Frosted Oats (00559),LVT
192174-004,Shaw Philadelphia In The Grain II (5525V) Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM - Freekeh (00564),LVP
192174-005,Shaw Philadelphia In The Grain II (5525V) Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM - Flaxseed (00568),LVT
192174-006,Shaw Philadelphia In The Grain II (5525V) Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM - Milo (00572),LVT
192174-009,Shaw Philadelphia Luxury Vinyl In The Grain II Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM,LVT
192174-010,Shaw Philadelphia In The Grain II (5525V) Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM - Drift (05013),LVT
192174-021,Shaw Philadelphia In The Grain II (5525V) Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM - Farro (00684),LVT
192174-022,Shaw Philadelphia In The Grain II (5525V) Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM - Barley (00740),LVT
192174-023,Shaw Philadelphia In The Grain II (5525V) Luxury Vinyl Tile 20 mil 6in x 48in 2.5 MM - Ember (05016),LVT
192326-001,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Juniper (00559),VCT
192326-002,Shaw Patcraft-Timber Grove II (I421V)-20 mil glue down-6in x 48in-2.5 MM-Hedgerow (00564),VCT
192326-003,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Mooreland (00568),VCT
192326-004,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Hemlock (00572),VCT
192326-006,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Boxwood (00775),VCT
192326-007,Shaw Patcraft-Timber Grove II (I421V)-20 mil glue down-6in x 48in-2.5 MM-Laurel (00684),VCT
192326-008,Shaw Patcraft-Timber Grove II (I421V)-20 mil glue down-6in x 48in-2.5 MM-Aster (00170),LVT
192326-009,Shaw Patcraft-Timber Grove II (I421V)-20 mil glue down-6in x 48in-2.5 MM-Sprout (00173),VCT
192326-010,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Heather (00174),VCT
192326-011,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Lattice (07008),VCT
192326-012,Shaw Patcraft-Timber Grove II (I421V)-20 mil glue down-6in x 48in-2.5 MM-Trellis (07007),VCT
192326-013,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Courtyard (07005),VCT
192326-014,Shaw Patcraft-Timber Grove II (I421V)-20 mil glue down-6in x 48in-2.5 MM-Topiary (07004),VCT
192326-015,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Pergola (07003),VCT
192326-017,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Inkberry (05016),VCT
192326-018,Shaw Patcraft-Timber Grove II (I421V)-20 mil glue down-6in x 48in-2.5 MM-Yarrow (05013),VCT
192326-019,Shaw Patcraft-Timber Grove II (I421V)-20 mil glue down-6in x 48in-2.5 MM-Shady Grove (05012),VCT
192326-020,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Silver (00540),LVT
192326-028,Shaw Patcraft-Timber Grove II (I421V)-20 mil glue down-6in x 48in-2.5 MM-Onyx (00580),VCT
192326-029,Shaw Patcraft-Timber Grove II (I421V)-20 mil glue down-6in x 48in-2.5 MM-Mandarin (00600),VCT
192392-001,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Shade (00564),VCT
192392-002,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Root (00568),VCT
192392-003,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Timber (00572),VCT
192392-004,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Nest (00774),VCT
192392-005,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Echo (00775),VCT
192392-006,"LVT1as: Terrain II 00769 6""x48""
Grove  Style: 0454V 20mil
41.72SF/ctn
83.44SF=2ctns",VCT
192392-007,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Willow (00170),VCT
192392-008,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Thatch (00173),VCT
192392-009,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Ash (00174),VCT
192392-011,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Pirch (00684),VCT
192392-012,Shaw Commercial Hard Surfaces-Terrain II 20 MIL (0454V)-20 mil glue down-6in x 48in-2.5 MM-Lodge (00740),VCT
192392-013,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Summit (05012),VCT
192392-014,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Orchard (05013),VCT
192392-015,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Lark (05016),VCT
192392-016,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Aspen (05019),VCT
192392-017,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Sequoia (07003),VCT
192392-018,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Sumac (07004),VCT
192392-019,Shaw Commercial Hard Surfaces-Terrain II 20 MIL (0454V)-20 mil glue down-6in x 48in-2.5 MM-Alder (07005),VCT
192392-020,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Thicket (07008),VCT
192392-023,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Graphite (00580),VCT
192392-024,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Slate (00540),VCT
192392-025,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Saffron (00230),VCT
192392-026,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Olive (00350),VCT
192392-030,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Terra (00600),VCT
192695-005,Shaw USF Commercial-Stratum Eiris (053UV)-Engineered Locking-7.09in x 59.06in-8.5 mm-Ivory (06005),VCT
192778-010,Mohawk Living Local 20 mil glue down 6in x 48in 2.5 MM - Sandy (829),VCT
192778-013,Mohawk Living Local 20 mil glue down 6in x 48in 2.5 MM - Silver (918),VCT
192956-008,Shaw USF Commercial-Stratum 500 Series (023UV)-Luxury Vinyl Plank-5in x 48in-8.0 MM-Wimena Pine (00506),LVP
192956-009,"Shaw Stratum 500 00205 Vintage Oak
Style#: 023UV
5""x 48"" Vinyl Plank
26.47 SF/CTN
1,005.86 SF = 38 CTNS",LVP
192956-011,Shaw USF Commercial-Stratum 500 Series (023UV)-Luxury Vinyl Plank-5in x 48in-8.0 MM-Allegheny Maple (00505),LVP
193193-001,Interface Level Set tural Stones (A001) Luxury Vinyl Plank 22 mil 19.69in x 19.69in 4.5 mm - Jet Mist (01),LVP
193193-004,Interface Level Set tural Stones (A001) Luxury Vinyl Plank 22 mil 19.69in x 19.69in 4.5 mm - Warm Impala Marble (04),LVP
193193-006,Interface-Level Set Natural Stones (A001)-Luxury Vinyl Plank 22 mil-19.69in x 19.69in-4.5 mm-Botticino Marble (06),LVP
193339-010,Shaw USF Commercial Stratum Linear (055UV) Luxury Vinyl Plank 9in x 24in Undefined - True Black (04001),LVP
193423-024,"Mannington Centry Rigid RGR380 12""x24"" Pumice",LVT
193549-000,Karndean LooseLay Longboard Plank 10in x 59in 4.5 mm - WORN FABRIC OAK LLP330,LVP
193549-002,Karndean LooseLay Longboard Plank 10in x 59in 4.5 mm - CHAMPAGNE OAK (LLP310),LVP
193549-005,Karndean-LooseLay Longboard-Plank-10in x 59in-4.5 mm-NEUTRAL OAK (LLP307),LVP
193549-006,Karndean LooseLay Longboard Plank 10in x 59in 4.5 mm - FRENCH GREY OAK (LLP308),LVP
193549-007,Karndean-LooseLay Longboard-Plank-10in x 59in-4.5 mm-TAUPE OAK (LLP309),LVP
193549-012,Karndean-LooseLay Longboard-Plank-10in x 59in-4.5 mm-CHARACTER WALNUT (LLP315),LVP
193549-014,Karndean-LooseLay Longboard-Plank-10in x 59in-4.5 mm-Weathered American Pine (LLP335),LVP
193602-006,US Floors COREtec Pro Plus (VV017) 20 mil Micro-Bevel Glue Down Plank 7.2in x 48.03in 5.0mm - BELMONT HICKORY (50RLV1005),LVP
193657-010,LVT3b -Mohawk Hot & Heavy Lineate (C0089) 20 mil LooseLay 9in x 59in 5.0mm - Figured (948) 61 ctns,VCT
193657-012,Mohawk Hot & Heavy Lineate (C0089) 20 mil LooseLay 9in x 59in 5.0mm - Striated (988),VCT
193739-005,Shaw Patcraft Vinings (I405V) 30 mil Dry Back LVT 5.91in x 47.2in Undefined - Charcoal Gray (00580),LVT
193919-004,"Mohawk Hit The Mark (C0095) 30 Mil Glue Down LVT 7.25in x 48in 3 MM - Target (852)
38.67SF/CTN
78,036sf = 2,018 cartons",LVT
194005-011,Shaw Commercial Hard Surfaces Pigment (0365V) 20 mil LVT 7in x 48in 4 mm - Taupe (65761),LVT
194062-002,Mannington-Access Wood-20 Mil Microbeveled-5.91in x 39.37in-5.0mm-BLACK WALNUT (SX5W2534),VCT
194062-003,Mannington Access Wood 20 Mil Microbeveled 5.91in x 39.37in 5.0mm - DUSKY WALNUT (SX5W2542),VCT
194062-004,Mannington Access Wood 20 Mil Microbeveled 5.91in x 39.37in 5.0mm - BLEACHED ELM (SX5W2516),VCT
194062-007,Mannington Access Wood 20 Mil Microbeveled 5.91in x 39.37in 5.0mm - SHIBORI JASMINE (SX5W7800),VCT
194143-005,Armstrong tural Creations EarthCuts Diamond 10 Luxury Vinyl Tile 18in x 36in 3.2 MM - PARSA IRISH CREAM (NA310),LVT
