part_no,part_description,new_commodity_description
10288,"SHAW\0453V TERRAIN II 12 MIL\00568 ROOT\6""X48""",LVT
10294,"SHAW\0453V TERRAIN II 12 MIL\00775 ECHO\6""X48""",LVT
10318,"MOHAWK\C0010 HOT & HEAVY BOLDER\925 PEBBLE\36""X36""",LVT
10768,"SHAW\0926V INLET\26506 SHADE\9""X48""",LVT
11021,"SHAW\0454V TERRAIN II 20 MIL\00173 THATCH\6""48""",VCT
11029,"SHAW\0454V TERRAIN II 20 MIL\00775 ECHO\6""X48""",VCT
11036,"SHAW\4107V ADBIDE 20 MIL\07760 CHOCOLATE WALNUT\7""X47""",LVT
11063,"SHAW\4107V ADBIDE\07720 CORIADER OAK\7""X47""",LVT
11407,"PATCRAFT\I439V CROSSOVER\00720 SMOKEY TAUPE\7""X48""",LVT
11554,"SHAW\4090V RESPITE\90720 LODGE\7""X48""",LVT
12480,"MILLIKEN\FORTIFIED FOUNDATIONS\RSC98 ROSECLIFF CHERRY\7""X48""",LVT
12674,"SHAW\I421V TIMBER GROVE II\00572 HEMLOCK\5.96""X48""X20MIL",LVT
12677,"SHAW\I421V TIMBER GROVE II\00775 BOXWOOD\5.96""X48""X20 MIL",LVT
12694,"SHAW\I421V TIMBER GROVE II\00580 ONYX\5.96""X48""X20MIL",LVT
13130,"MOHAWK\C0009 SECOYA\352 SIERRA\9""X59""",LVT
13134,"MOHAWK\C0009 SECOYA LVT\936 CONVERSE BASIN\9""X59""",LVT
13313,"TANDUS\ID LATITUDE ABSRACT\5101 FINELINES BISQUE6""X36""",LVT
13488,"SHAW\0648V SOLITUDE\48760 WOODLAND\6""X48""",LVT
13489,"SHAW\0648V SOLITUDE\48720 MINK\6""X48""",LVT
15440,"SHAW\0516V STRAND\16515 CHALK\18""X36""",LVT
15470,"ARMSTRONG\COALESCE\ST881 OXIDE TIN\18""X36""",LVT
15639,"SHAW\0516V STRAND\16115 WOOL\18""X36""",LVT
15640,"SHAW\0516V STRAND\16516 DUNE\18""X36""",LVT
16019,"PATCRAFT\1322V STRATIFIED00500 FROST\12""X24""",LVT
16361,"TARKETT\ID LATITUDE STONE & CONCRETE\3515 ALUMINUM\18""X18""",LVT
16630,"ARMSTRONG\CROWN TEXTURE\5C908 PEWTER\12""X12""",VCT
16631,"ARMSTRONG\CROWN TEXTURE\5C858 SANDRIFT WHITE\12""X12""",VCT
16639,"ARMSTRONG\CROWN TEXTURE\5C230 VISTORIA BLUE\12""X12""",VCT
16784,"SHAW\4216V TERRANCE 5.0MM\08120 PATH\12""X24""",LVT
16801,"SHAW\4216V TERRANCE 5.0MM\08705 BONSAI\12""X24""",LVT
17090,"ARMSTRONG\EXCHANGE\ST910 STATIC CATHODE GREY\6""X36""",LVT
17129,"ARMSTRONG\BIOME\ST252 MONTANE KILIMANJARO\6""X48""",LVT
17132,"ARMSTRONG\BIOME\ST253 MONTANE ULURU\6""X48""",LVT
22258,"SHAW\0922V NATURAL CHOREOGRAPHY CUT LVT\22280 HONEY\18""X18""",LVT
22388,"SHAW\0515V SURFACE\15155 NATURAL\18""X36""",LVT
22393,"SHAW\0515V SURFACE\15595 SEDIMENT\18""X36""",LVT
22536,"TARKETT\VCT II\556 SANDSTONE\12""X12""",VCT
22541,"TARKETT\VCT II\323 STARRY NIGHT\12""X12""",VCT
22543,"TARKETT\VCT II\326 DUNES\12""X12""",VCT
22546,"TARKETT\VCT II\480 PURE WHITE\12""X12""",VCT
22549,"TARKETT\VCT II\503 ADOBE\12""X12""",VCT
22551,"TARKETT\VCT II\509 PEWTER\12""X12""",VCT
22552,"TARKETT\VCT II\522 STEEL WORKS\12""X12""",VCT
22557,"TARKETT\VCT II\530 WINTER STORM\12""X12""",VCT
22558,"TARKETT\VCT II\533 TRUE BEIGE\12""X12""",VCT
22559,"TARKETT\VCT II\557 SHOOTING STAR\12""X12""",VCT
22561,"TARKETT\VCT II\568 SKY VISTA\12""X12""",VCT
22568,"TARKETT\VCT II\580 MINERAL WHITE\12""X12""",VCT
22569,"TARKETT\VCT II\582 IVORY TOWER\12""X12""",VCT
22579,"TARKETT\VCT II\602 STONE GREY\12""X12""",VCT
23049,"SHAW\4089V REPOSE\89111 CAPE\7""X48""",LVT
24448,"PATCRAFT\I466V SPLITWOOD\00760 TAVERN BRONZE V\9""X60""",LVT
28206,"SHAW\098UV COMPOSED\00516 STONY OAK\7""X48""",LVT
28972,GERFLOR\GTI MAX CONNECT\0266 PELER\25X25,VCT
29001,"TARKETT\EVENT HERITAGE PLANK\GW38 EHP ANTIQUE WALNUT\4""X36""",LVT
29613,"MOHAWK\C0179 STONEWORK\985 STAMPED CONCRETE\12""X24""",LVT
29678,"GERLOR\CREATIONS CLICK 28 CUSTOM\0441 HONEY OAK\8.4""X48.8""",LVT
30126,"MILLIKEN\ROSECLIFF CHERRY\RC216\7""X48""",LVT
30319,"SHAW\4077V COMPOUND 5.0 LVT\77585 GRANITE\24""X24""
PRICING AS PER QUOTE 02183221 AND CONFIRMED BY LAUREN SERRA",LVT
30362,"PATCRAFT\I600V CLICK REFRESH\00720 SMOKEY TAUPE\7.25""X47.72""",LVT
30580,"SHAW\4308V BRANCHING OUT CORETEC 12 MIL\56760 TRAVERSE OAK\7""X48""",VCT
31648,"MANNINGTON\COLOR ANCHOR STRIDE\C166 FLANNEL\18""X18""",LVT
31656,"MANNINGTON\COLOR ANCHOR STRIDE\C163 LAVA ROCK\18""X18""",LVT
31895,"FORBO\FLOTEX FRAMEWEAVE PLANKS\142014 MARINE\39.37""X9.48""",LVP
32019,"MANNINGTON\COLOR ANCHOR STRIDE\C133 PEANUT SHELL\6""X36""",LVT
32062,"FORBO\FLOTEX METRO\T546036 METRO GOLD\20""X20""",VCT
32077,"MANNINGTON\NATURES PATH WOOD\12106 HERITAGE CHERRY NATURAL\6""X36""",VCT
32198,"MOHAWK\C0194 PREMIUM WOOD\958 TWO TONE\7.72""X51.97""",LVT
32816,"PATCRAFT\I322V STRATIFIED\00200 SAND\12""X24""",LVT
32958,"MOHAWK\C0194 PREMIUM WOOD\330 ALMOND\7.72""X51.97""",LVT
33130,"PATCRAFT\I560V LINOCUT\00530 CARVE-V1\9""X36""",LVT
33131,"PATCRAFT\I560V LINOCUT\00490 BAREN-V1\9""X36""",LVT
33205,"PATCRAFT\I560V LINOCUT\00100 RELIEF-V1\9""X36""",LVT
33724,"SHAW\4094V RESIDE\94121 REST\12 MILX6""X47""",VCT
33785,"COBALT SURFACES\KATANGA LOOSE LAY LVT\KP5-803 MACADAMIA\5MMX7""X48""",LVT
33862,"LVTas:SPACIA ABSTRACT SS5A6110
MIRUS COTTON 18""X18""
27SF/12pc/ctn
162SF=6ctn",LVT
34020,"J&J\V5000 CLASSICS\1003 HEIRLOOM\9""X48""X3MM",LVP
34484,INTERFACE\CRITERION CLASSIC WOODGRAINS\C00106 ANTIQUE LIGHT OAK\12.5CMX1M,LVT
34906,"MOHAWK\C0194 PREMIUM WOOD\210 FAWN\7.72""X51.97""",LVT
35749,"MANNINGTON\THE DRIFT ABSTRACT\D213 PAXBURNISHED\6""X48""",LVT
35751,"MANNINGTON\THE DRIFT ABSTRACT\D214 PAX ORE\6""X48""",LVT
35772,"MANNINGTON\THE DRIFT WOOD\D104 DUTCH ELM TINSMITH\7.25""""X48""",LVT
35808,"T&A SUPPLY\CUSTOM LVT\88162-XL-008\4.5MM\7""X48""",LVT
