site_description,site,unit,unitclass,commodity_group,commodity_description,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
RD Weis Hawthorn,RDW,CWT,Weight,1VNL,LVP,32.69,30.36,25.52,19.5,15.43,15.43,13.63,13.63,13.63,13.63
RD Weis Hawthorn,RDW,CWT,Weight,1VNL,VCT,32.69,30.36,25.52,19.5,15.43,15.43,13.63,13.63,13.63,13.63
RD Weis Hawthorn,RDW,SQYD,Area,1CBL,Carpet Roll,0.6747,0.6688,0.663,0.6513,0.6455,0.6747,0.6688,0.663,0.6513,0.6455
RD Weis Hawthorn,RDW,SQYD,Area,1CPT,Carpet Tile,1.1469,1.137,1.1271,1.1072,1.0973,1.1469,1.137,1.1271,1.1072,1.0973
Spectra Harrisburg,SPB,CWT,Weight,1VNL,LVT,24.78,22.59,17.52,14.09,11.04,11.04,9.2,9.2,9.2,9.2
Spectra Harrisburg,SPB,CWT,Weight,1VNL,LVP,24.78,22.59,17.52,14.09,11.04,11.04,9.2,9.2,9.2,9.2
Spectra Harrisburg,SPB,CWT,Weight,1VNL,VCT,24.78,22.59,17.52,14.09,11.04,11.04,9.2,9.2,9.2,9.2
Spectra Harrisburg,SPB,SQYD,Area,1CBL,Carpet Roll,0.7633,0.7488,0.7391,0.7294,0.7101,0.7633,0.7488,0.7391,0.7294,0.7101
Spectra Harrisburg,SPB,SQYD,Area,1CPT,Carpet Tile,1.2976,1.273,1.2565,1.24,1.2073,1.2976,1.273,1.2565,1.24,1.2073
Spectra San Antonio,SPSA,CWT,Weight,1VNL,LVT,28,25.52,20.34,16.99,13.28,13.28,11.16,11.16,11.16,11.16
Spectra San Antonio,SPSA,CWT,Weight,1VNL,LVP,28,25.52,20.34,16.99,13.28,13.28,11.16,11.16,11.16,11.16
Spectra San Antonio,SPSA,CWT,Weight,1VNL,VCT,28,25.52,20.34,16.99,13.28,13.28,11.16,11.16,11.16,11.16
Spectra San Antonio,SPSA,SQYD,Area,1CBL,Carpet Roll,0.6175,0.6011,0.593,0.5848,0.5644,0.6175,0.6011,0.593,0.5848,0.5644
Spectra San Antonio,SPSA,SQYD,Area,1CPT,Carpet Tile,1.0497,1.0219,1.0081,0.9941,0.9594,1.0497,1.0219,1.0081,0.9941,0.9594
Spectra Los Angeles,SPLA,CWT,Weight,1VNL,LVT,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
Spectra Los Angeles,SPLA,CWT,Weight,1VNL,LVP,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
Spectra Los Angeles,SPLA,CWT,Weight,1VNL,VCT,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
Spectra Los Angeles,SPLA,SQYD,Area,1CBL,Carpet Roll,0.7608,0.7443,0.7279,0.7114,0.6867,0.7608,0.7443,0.7279,0.7114,0.6867
Spectra Los Angeles,SPLA,SQYD,Area,1CPT,Carpet Tile,1.2934,1.2653,1.2374,1.2095,1.1674,1.2934,1.2653,1.2374,1.2095,1.1674
Spectra West Valley City,SPWV,CWT,Weight,1VNL,LVT,38.33,31.07,26.45,22.24,19.34,19.34,15.85,15.85,15.85,15.85
Spectra West Valley City,SPWV,CWT,Weight,1VNL,LVP,38.33,31.07,26.45,22.24,19.34,19.34,15.85,15.85,15.85,15.85
Spectra West Valley City,SPWV,CWT,Weight,1VNL,VCT,38.33,31.07,26.45,22.24,19.34,19.34,15.85,15.85,15.85,15.85
Spectra West Valley City,SPWV,SQYD,Area,1CBL,Carpet Roll,0.8049,0.798,0.7797,0.7712,0.7375,0.8049,0.798,0.7797,0.7712,0.7375
Spectra West Valley City,SPWV,SQYD,Area,1CPT,Carpet Tile,1.3684,1.3397,1.3254,1.311,1.2537,1.3684,1.3397,1.3254,1.311,1.2537
Spectra Cincinnati,DCN,CWT,Weight,1VNL,LVT,23.51,18.3,13.62,10.02,7.02,7.02,5.43,5.43,5.43,5.43
Spectra Cincinnati,DCN,CWT,Weight,1VNL,LVP,23.51,18.3,13.62,10.02,7.02,7.02,5.43,5.43,5.43,5.43
