po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code
92167,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,107768,Milliken & Company,1000021472,Milliken Obex Tile Cutx/Grain 25cm X 1m Tufted - Dark Grey (TDX118-119),1CPT,Carpet Tile,88.5,SQYD,172.36,Carpet_Tile_1CPT_SQYD
92167,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,107768,Milliken & Company,1000021472,Milliken Obex Tile Cutx/Grain 25cm X 1m Tufted - Dark Grey (TDX118-119),1CPT,Carpet Tile,708.11,SQYD,172.36,Carpet_Tile_1CPT_SQYD
92467,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",183578-005,Shaw Patcraft Futura (I0380) Multi Level Pattern Loop 24in x 24in - Modern (00550),1CPT,Carpet Tile,53.3,SQYD,70.45,Carpet_Tile_1CPT_SQYD
92675,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",175905-005,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Sterling (00500),1CPT,Carpet Tile,10.66,SQYD,41.75,Carpet_Tile_1CPT_SQYD
92719,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",175905-005,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Sterling (00500),1CPT,Carpet Tile,10.66,SQYD,41.76,Carpet_Tile_1CPT_SQYD
93007,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",175905-003,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Multicolor (00300),1CPT,Carpet Tile,21.32,SQYD,28.03,Carpet_Tile_1CPT_SQYD
93225,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",178729-017,Shaw Contract Path Tile - Ecoworx (5T034) Multi Level Pattern Loop 24in x 24in - Sterling (34557),1CPT,Carpet Tile,159.9,SQYD,860.29,Carpet_Tile_1CPT_SQYD
93473,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",200669-013,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Metallic Beige (94760),1CPT,Carpet Tile,124.44,SQYD,130.03,Carpet_Tile_1CPT_SQYD
93495,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",200669-013,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Metallic Beige (94760),1CPT,Carpet Tile,97.78,SQYD,102.17,Carpet_Tile_1CPT_SQYD
93502,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",200669-013,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Metallic Beige (94760),1CPT,Carpet Tile,80,SQYD,164.54,Carpet_Tile_1CPT_SQYD
93507,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",209897-006,Shaw Contract Welcome II Tile (800P0) Undefined 24in x 24in - Charcoal (31549),1CPT,Carpet Tile,31.98,SQYD,169.14,Carpet_Tile_1CPT_SQYD
93553,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191438-004,Shaw Contract Situation Tile (5T210) Multi Level Pattern Loop 24in x 24in - Shale (08597),1CPT,Carpet Tile,195.54,SQYD,204.33,Carpet_Tile_1CPT_SQYD
93949,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",184757-004,Interface AE311 (138830AK00) Tufted Texture Loop 25cm x 1m - Greige (104672),1CPT,Carpet Tile,29.9,SQYD,97.33,Carpet_Tile_1CPT_SQYD
94488,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",182634-019,Shaw Contract Color Frame EW2 (5T081) Undefined 24in x 24in - Mystik Grey (81515),1CPT,Carpet Tile,15.99,SQYD,22.88,Carpet_Tile_1CPT_SQYD
94508,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,121550,Mohawk Industries,172606-010,Lees Brain Power Modular EcoFlex ICT (GT136) Textured Patterned Loop 24in x 24in - Technique (936),1CPT,Carpet Tile,32,SQYD,147.08,Carpet_Tile_1CPT_SQYD
94595,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,196363-008,Bigelow Commercial Metalmorphic (QB388) Textured Patterned Loop 12in x 36in - Daring Drift Metallic (999),1CPT,Carpet Tile,40,SQYD,37.6,Carpet_Tile_1CPT_SQYD
94877,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",212124-008,Shaw Contract Hand In Hand (5T450) Multi Level Pattern Loop 18in x 36in - Merge (50518),1CPT,Carpet Tile,15,SQYD,885.86,Carpet_Tile_1CPT_SQYD
94877,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",208961-004,Shaw Contract Swift Tile (5T414) Multi Level Pattern Loop 24in x 24in - Traverse (14557),1CPT,Carpet Tile,37.33,SQYD,885.86,Carpet_Tile_1CPT_SQYD
94881,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,102775,"Interface Americas, Inc.",206779-001,Interface Shishu Stitch (137480AK0Q) Tufted Texture Loop 25cm x 1m - Shade (106642),1CPT,Carpet Tile,143.52,SQYD,208,Carpet_Tile_1CPT_SQYD
95730,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,122034,Engineered Floors LLC,1000022316,"J&J FLOORING\CARPET TILE\COLLECTION-ELEMENTAL (7683)\24"" X 24""\COLOR- WEATHERED (#2627)",1CPT,Carpet Tile,152,SQYD,193.69,Carpet_Tile_1CPT_SQYD
95983,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,198739-004,Milliken Free Flow Cloth (CTHxxx) Tufted Texture Loop 50cm x 50cm - GRAVEL (235),1CPT,Carpet Tile,174.92,SQYD,219.37,Carpet_Tile_1CPT_SQYD
96637,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",141239-013,Interface Plain Weave (1381502500) Tufted Texture Loop 19.69in x 19.69in - Rustic (101085),1CPT,Carpet Tile,59.8,SQYD,131.53,Carpet_Tile_1CPT_SQYD
96655,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",208201-002,Shaw Contract Subtext (5T409) Multi Level Pattern Loop 9in x 36in - Connection (05105),1CPT,Carpet Tile,270,SQYD,380.71,Carpet_Tile_1CPT_SQYD
96702,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",163592-022,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - River Front (75535),1CPT,Carpet Tile,48,SQYD,78.84,Carpet_Tile_1CPT_SQYD
96832,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",191649-004,Shaw Patcraft Logic (I0460) Undefined 24in x 24in - Intellect (00550),1CPT,Carpet Tile,14,SQYD,206.26,Carpet_Tile_1CPT_SQYD
97305,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",179112-025,Shaw Contract Reverse Tile - Ecoworx (5T069) Multi Level Pattern Loop 24in x 24in - Vista (69481),1CPT,Carpet Tile,16,SQYD,156.6,Carpet_Tile_1CPT_SQYD
97975,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",203614-003,Shaw Contract Campus Quad Tile (5T324) Undefined 24in x 24in - Clay Plaster (23530),1CPT,Carpet Tile,271.98,SQYD,676.5,Carpet_Tile_1CPT_SQYD
98073,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",200669-008,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Sterling Silver (94515),1CPT,Carpet Tile,5.33,SQYD,8.86,Carpet_Tile_1CPT_SQYD
98299,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",200669-005,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Blue Belle (94486),1CPT,Carpet Tile,8.89,SQYD,87.89,Carpet_Tile_1CPT_SQYD
98302,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",181818-006,Interface Human ture HN820 (127610AKOH) Tufted Patterned Loop 25cm x 1m - Shale (104234),1CPT,Carpet Tile,11.96,SQYD,131.53,Carpet_Tile_1CPT_SQYD
98306,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",183719-001,Shaw Contract Surround Tile (5T125) Multi Level Pattern Loop 24in x 24in - Blue Herring (17481),1CPT,Carpet Tile,154.67,SQYD,852.73,Carpet_Tile_1CPT_SQYD
98306,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",183691-002,Shaw Contract Primary Tile (5T123) Multi Level Pattern Loop 24in x 24in - Blue Herring (17481),1CPT,Carpet Tile,447.97,SQYD,852.73,Carpet_Tile_1CPT_SQYD
98306,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",183691-002,Shaw Contract Primary Tile (5T123) Multi Level Pattern Loop 24in x 24in - Blue Herring (17481),1CPT,Carpet Tile,0.03,SQYD,852.73,Carpet_Tile_1CPT_SQYD
98459,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",205932-003,Shaw Contract Habitat (5T390) Undefined 36.00in x 9.00in - Deep Sky (88485),1CPT,Carpet Tile,180,SQYD,242.96,Carpet_Tile_1CPT_SQYD
98496,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",199315-002,Shaw Patcraft Eastern Facade (I0515) Multi Level Pattern Loop 24in x 24in - Suburbia (00375),1CPT,Carpet Tile,35.56,SQYD,35.44,Carpet_Tile_1CPT_SQYD
98558,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",1000013800,Interface Static Lines Carpet Tile Plank  (258270-287 / 118669) - Custom,1CPT,Carpet Tile,161.46,SQYD,381,Carpet_Tile_1CPT_SQYD
98558,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",198004-004,Interface turally Weathered (39400AK00) Tufted Patterned Loop 25cm x 1m - Burnt Ember (106022),1CPT,Carpet Tile,143.52,SQYD,381,Carpet_Tile_1CPT_SQYD
98558,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",212796-005,Flor Industrious (21-1552) Needlepunch 50cm x 50cm - Black (Black),1CPT,Carpet Tile,17.95,SQYD,381,Carpet_Tile_1CPT_SQYD
98618,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",207650-008,Interface Open Air 404 (1633302500) Tufted Texture Loop 19.69in x 19.69in - Stone (106752),1CPT,Carpet Tile,35.88,SQYD,130.86,Carpet_Tile_1CPT_SQYD
98618,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",185328-004,Interface Step Repeat SR999 (1388702500H) Tufted Texture Loop 50cm x 50cm - Onyx (104945),1CPT,Carpet Tile,5.98,SQYD,130.86,Carpet_Tile_1CPT_SQYD
98626,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",208648-004,Shaw Contract Elevate Tile (5T388) Multi Level Pattern Loop 24in x 24in - Shadow (88500),1CPT,Carpet Tile,58.66,SQYD,225.72,Carpet_Tile_1CPT_SQYD
98642,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,121550,Mohawk Industries,213560-007,Bigelow Commercial Drifted Ground (BT389) Textured Patterned Loop 12in x 36in - Solid Ground (955),1CPT,Carpet Tile,88,SQYD,82.72,Carpet_Tile_1CPT_SQYD
98870,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175996-008,Shaw Tile Path Tile (5T034) Multituft 24in x 24in - Portabella (34761),1CPT,Carpet Tile,21.32,SQYD,35.44,Carpet_Tile_1CPT_SQYD
99183,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",215555-001,Interface Rock Springs (131160AK00) tufted Textured Loop 9.845in x 39.38in - Taupe Gneiss (107290),1CPT,Carpet Tile,77.74,SQYD,131.53,Carpet_Tile_1CPT_SQYD
99641,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",200044-036,Interface Cubic (1380102500) Tufted Texture Loop 19.69in x 19.69in - Principal (106070),1CPT,Carpet Tile,89.7,SQYD,132.42,Carpet_Tile_1CPT_SQYD
99641,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",185319-003,Interface Step Repeat SR899 (1388602500) Tufted Texture Loop 50cm x 50cm - Iron (104940),1CPT,Carpet Tile,5.98,SQYD,132.42,Carpet_Tile_1CPT_SQYD
99886,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",212124-001,Shaw Contract Hand In Hand (5T450) Multi Level Pattern Loop 18in x 36in - Include (50100),1CPT,Carpet Tile,220,SQYD,470.16,Carpet_Tile_1CPT_SQYD
100233,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175048-007,Shaw Tile Bon Jour II (5T032) Needlebond 24in x 24in - Sterling (31557),1CPT,Carpet Tile,42.67,SQYD,55.29,Carpet_Tile_1CPT_SQYD
100500,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",200669-008,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Sterling Silver (94515),1CPT,Carpet Tile,373.38,SQYD,398.07,Carpet_Tile_1CPT_SQYD
100509,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",214758-001,Shaw Patcraft Passage (801Y1) Multi Level Pattern Loop 24in x 24in - Step (00595),1CPT,Carpet Tile,21.32,SQYD,28.51,Carpet_Tile_1CPT_SQYD
100746,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",179043-005,Shaw Contract Shape (5T070) Multi Level Pattern Loop 24in x 24in - Gaze (69530),1CPT,Carpet Tile,175.89,SQYD,235.19,Carpet_Tile_1CPT_SQYD
100805,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191438-001,Shaw Contract Situation Tile (5T210) Multi Level Pattern Loop 24in x 24in - Stellar (08505),1CPT,Carpet Tile,168.88,SQYD,283.54,Carpet_Tile_1CPT_SQYD
101067,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,107768,Milliken & Company,201934-002,Milliken Obex CutX Fizz Tufted Cut Pile 50cm x 50cm - Grey (FZX5-27),1CPT,Carpet Tile,35.88,SQYD,97.18,Carpet_Tile_1CPT_SQYD
101268,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",1000021285,"SHAW CONTRACT\CARPET TILE\STYLE- CURRENT TILE (#5T350)\9"" X 36""\COLOR-49505 CARBON",1CPT,Carpet Tile,160,SQYD,215.6,Carpet_Tile_1CPT_SQYD
101582,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191242-009,Shaw Contract Sea Edge (5T173) Multi Level Pattern Loop 24in x 24in - Ocean Lime (72538),1CPT,Carpet Tile,53.3,SQYD,75.97,Carpet_Tile_1CPT_SQYD
102134,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",175996-005,Shaw Tile-Path Tile  (5T034)-Multituft-24in x 24in-Sterling (34557),1CPT,Carpet Tile,26.65,SQYD,0.8,Carpet_Tile_1CPT_SQYD
102657,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",205932-003,Shaw Contract Habitat (5T390) Undefined 36.00in x 9.00in - Deep Sky (88485),1CPT,Carpet Tile,65,SQYD,88.17,Carpet_Tile_1CPT_SQYD
103003,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175996-002,Shaw Tile Path Tile (5T034) Multituft 24in x 24in - Navy (34485),1CPT,Carpet Tile,1,SQYD,344.27,Carpet_Tile_1CPT_SQYD
104895,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191649-001,Shaw Patcraft Logic (I0460) Undefined 24in x 24in - Technique (00400),1CPT,Carpet Tile,355.54,SQYD,450.5,Carpet_Tile_1CPT_SQYD
105019,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,191.98,SQYD,256.49,Carpet_Tile_1CPT_SQYD
105019,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",162681-010,Shaw Patcraft Easy On The Eyes (I0227) Double Scroll 24in x 24in - Starring (00530),1CPT,Carpet Tile,0.02,SQYD,256.49,Carpet_Tile_1CPT_SQYD
105087,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",198004-004,Interface turally Weathered (39400AK00) Tufted Patterned Loop 25cm x 1m - Burnt Ember (106022),1CPT,Carpet Tile,179.4,SQYD,487.55,Carpet_Tile_1CPT_SQYD
105087,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",1000013800,Interface Static Lines Carpet Tile Plank  (258270-287 / 118669) - Custom,1CPT,Carpet Tile,299,SQYD,487.55,Carpet_Tile_1CPT_SQYD
105087,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",212796-005,Flor Industrious (21-1552) Needlepunch 50cm x 50cm - Black (Black),1CPT,Carpet Tile,15,SQYD,487.55,Carpet_Tile_1CPT_SQYD
105743,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",216167-001,Shaw Contract Hub Accent (5T460) Multi Level Pattern Loop 24in x 24in - Action Aqua (57583),1CPT,Carpet Tile,382.21,SQYD,399.33,Carpet_Tile_1CPT_SQYD
106092,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",199315-010,Shaw Patcraft Eastern Facade (I0515) Multi Level Pattern Loop 24in x 24in - Railcar (00700),1CPT,Carpet Tile,204.24,SQYD,206.58,Carpet_Tile_1CPT_SQYD
106146,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191649-001,Shaw Patcraft Logic (I0460) Undefined 24in x 24in - Technique (00400),1CPT,Carpet Tile,53.33,SQYD,40.8,Carpet_Tile_1CPT_SQYD
106899,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,101928,VAN GELDER INC,147363-004,Charles Van Gelder Domitor Non Woven Diagol Ribbed 19.69in x 19.69in - Mid Grey (112),1CPT,Carpet Tile,487.5,SQYD,210.38,Carpet_Tile_1CPT_SQYD
107236,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,121550,Mohawk Industries,1000011502,"MOHAWK\BT430 DISRUPTIVE PATH\946 ABOVE PAR\ECOFLEX MATRIX\12""X36""",1CPT,Carpet Tile,16,SQYD,45.12,Carpet_Tile_1CPT_SQYD
107236,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,121550,Mohawk Industries,1000011498,"MOHAWK\BT430 DISRUPTIVE PATH\931 NEON CITRON\ECOFLEX MATRIX\12""X36""",1CPT,Carpet Tile,16,SQYD,45.12,Carpet_Tile_1CPT_SQYD
107236,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,121550,Mohawk Industries,1000011500,"MOHAWK\BT430 DISRUPTIVE PATH\955 COSMIC SKY\ECOFLEX MATRIX\12""X36""",1CPT,Carpet Tile,16,SQYD,45.12,Carpet_Tile_1CPT_SQYD
107301,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,180851-006,Milliken Nordic Stories Tectonic Tufted Texture Loop 50cm x 50cm - Esker (TTC13-119),1CPT,Carpet Tile,35.28,SQYD,96.82,Carpet_Tile_1CPT_SQYD
107325,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175048-005,Shaw Tile Bon Jour II (5T032) Needlebond 24in x 24in - Ebony (31500),1CPT,Carpet Tile,16,SQYD,982.09,Carpet_Tile_1CPT_SQYD
107325,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",155631-018,Shaw Contract Gradient (59534) Pattern Loop 24in x 24in - Total Eclipse (34505),1CPT,Carpet Tile,21.33,SQYD,982.09,Carpet_Tile_1CPT_SQYD
107325,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175397-006,Shaw Tile Embark Tile (5T040) Full Repeat 24in x 24in - Myth (37505),1CPT,Carpet Tile,613.29,SQYD,982.09,Carpet_Tile_1CPT_SQYD
107325,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175397-006,Shaw Tile Embark Tile (5T040) Full Repeat 24in x 24in - Myth (37505),1CPT,Carpet Tile,0.04,SQYD,982.09,Carpet_Tile_1CPT_SQYD
107906,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",163592-022,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - River Front (75535),1CPT,Carpet Tile,21.33,SQYD,77.76,Carpet_Tile_1CPT_SQYD
107925,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",200940-009,Shaw Contract Structure Tile (5T297) Multi Level Pattern Loop 24in x 24in - Metallic Beige (94760),1CPT,Carpet Tile,53.33,SQYD,77.76,Carpet_Tile_1CPT_SQYD
108021,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,195615-005,Mohawk Shared Path Tile (QB429 - BT429) Tufted Textured Pattern Multi Colored Loop 12in x 36in - Slate (959),1CPT,Carpet Tile,416,SQYD,361.92,Carpet_Tile_1CPT_SQYD
108298,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",195255-006,Shaw Contract Familiar Tile (5T235) Undefined 9in x 36in - Greige (35516),1CPT,Carpet Tile,20,SQYD,26.46,Carpet_Tile_1CPT_SQYD
108424,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175996-004,Shaw Tile Path Tile (5T034) Multituft 24in x 24in - Lava (34549),1CPT,Carpet Tile,21.33,SQYD,77.76,Carpet_Tile_1CPT_SQYD
108576,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",211215-001,Shaw Contract In Common Tile (5T451) Undefined 9in x 36in - Include (50100),1CPT,Carpet Tile,790,SQYD,1564.24,Carpet_Tile_1CPT_SQYD
108640,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191438-001,Shaw Contract Situation Tile (5T210) Multi Level Pattern Loop 24in x 24in - Stellar (08505),1CPT,Carpet Tile,0.02,SQYD,177.83,Carpet_Tile_1CPT_SQYD
108640,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191438-001,Shaw Contract Situation Tile (5T210) Multi Level Pattern Loop 24in x 24in - Stellar (08505),1CPT,Carpet Tile,168.87,SQYD,177.83,Carpet_Tile_1CPT_SQYD
109509,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",1000021517,"SHAW CONTRACT\COLLECTION-RELIEF TILE\STYLE-5T152\CARPET TILE\9"" X 36""\COLOR-VEIL (50111",1CPT,Carpet Tile,10,SQYD,14.15,Carpet_Tile_1CPT_SQYD
109905,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",182402-002,Shaw Contract Achromatic (5T107) Undefined 18in x 36in - Black (07505),1CPT,Carpet Tile,25,SQYD,32.42,Carpet_Tile_1CPT_SQYD
109915,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",191438-003,Shaw Contract Situation Tile (5T210) Multi Level Pattern Loop 24in x 24in - Nocturne (08557),1CPT,Carpet Tile,35.56,SQYD,36.51,Carpet_Tile_1CPT_SQYD
110099,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,122034,Engineered Floors LLC,206328-010,J&J rrative (7084) Textured Patterned Loop 12in x 48in - Folio (3000),1CPT,Carpet Tile,6.22,SQYD,16.09,Carpet_Tile_1CPT_SQYD
110384,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",177709-016,Interface Shiver Me Timbers (127410AK00) Tufted Tip Shear 25cm x 1m - Hickory (103936),1CPT,Carpet Tile,849.16,SQYD,565.36,Carpet_Tile_1CPT_SQYD
110718,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",179043-005,Shaw Contract Shape (5T070) Multi Level Pattern Loop 24in x 24in - Gaze (69530),1CPT,Carpet Tile,16,SQYD,22.03,Carpet_Tile_1CPT_SQYD
110785,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",199315-003,Shaw Patcraft Eastern Facade (I0515) Multi Level Pattern Loop 24in x 24in - Graffiti (00430),1CPT,Carpet Tile,373.38,SQYD,413.22,Carpet_Tile_1CPT_SQYD
110862,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,103423,"Shaw Industries, Inc.",170272-001,Shaw Tile Shine Tile (59328) Full Repeat 24in x 24in - Golden (27150),1CPT,Carpet Tile,4,SQYD,78.03,Carpet_Tile_1CPT_SQYD
110873,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",193343-004,Shaw Contract Beyond 12x48 (5T218) Undefined 12in x 48in - Coast (15456),1CPT,Carpet Tile,154.65,SQYD,218.83,Carpet_Tile_1CPT_SQYD
110873,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",193343-004,Shaw Contract Beyond 12x48 (5T218) Undefined 12in x 48in - Coast (15456),1CPT,Carpet Tile,0.01,SQYD,218.83,Carpet_Tile_1CPT_SQYD
110887,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",193874-005,Shaw Contract Stacked (5T207) Multi Level Pattern Loop 24in x 24in - Mortar (06530),1CPT,Carpet Tile,117.33,SQYD,163.74,Carpet_Tile_1CPT_SQYD
111009,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,2499.64,SQYD,2650,Carpet_Tile_1CPT_SQYD
111020,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",171487-011,Interface Pathways II GlasBac (1468102500) Tufted Texture Loop 19.69in x 19.69in - Topaz (9713),1CPT,Carpet Tile,191.36,SQYD,2650,Carpet_Tile_1CPT_SQYD
