po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code
33345,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",1000004973,Shaw Gather-Tapestry Tile (5T347) Multi-Level Pattern Cut/Loop Ecoworx backing 18in x 36in - Recollect (85215),1CPT,Carpet Tile,510,SQYD,690.17,Carpet_Tile_1CPT_SQYD
33612,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,126695,Tarkett USA Inc,1000005193,Tarkett Parallel Ray (11525) Stratatec Patterned Loop Modular Flex Aire Cushion 24in x 24in - White Out (45403),1CPT,Carpet Tile,6.67,SQYD,72.17,Carpet_Tile_1CPT_SQYD
34231,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175905-007,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Ebony (00595),1CPT,Carpet Tile,2,SQYD,15.01,Carpet_Tile_1CPT_SQYD
34608,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",141239-013,Interface Plain Weave (1381502500) Tufted Texture Loop 19.69in x 19.69in - Rustic (101085),1CPT,Carpet Tile,59.8,SQYD,237.34,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004776,Milliken Revelation Pathway PWY277 Forest 50cmx1m,1CPT,Carpet Tile,0.2,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004774,Milliken Revelation Pathway PWY52 Sail 50cmx1m,1CPT,Carpet Tile,0.45,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004777,Milliken Revelation Pathway PWY105 Crest 50cmx1m,1CPT,Carpet Tile,0.56,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004774,Milliken Revelation Pathway PWY52 Sail 50cmx1m,1CPT,Carpet Tile,225,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004783,Milliken Pathway Revelation 01022555 Peppercorn 50cmx1m,1CPT,Carpet Tile,88.46,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004776,Milliken Revelation Pathway PWY277 Forest 50cmx1m,1CPT,Carpet Tile,120,SQYD,628.11,Carpet_Tile_1CPT_SQYD
