site,new_commodity_group,min of xgs_rate,mean of xgs_rate,median of xgs_rate,<lambda_0> of xgs_rate,max of xgs_rate,min of historical_rate,mean of historical_rate,median of historical_rate,<lambda_0> of historical_rate,max of historical_rate
SPTG,1CBL, 1.1335 , 2.7249 , 1.9200 , 2.6460 , 9.9194 , 1.0200 , 2.2191 , 1.9202 , 1.0200 , 5.1838 
SPTG,1CPT, 1.8908 , 4.6502 , 1.9993 , 1.9993 , 160.3636 , 0.6920 , 3.4661 , 1.9700 , 0.6920 , 73.3788 
SPTG,1VNL, 0.1913 , 1.2250 , 0.3710 , 0.9797 , 17.1259 , 0.0567 , 0.5965 , 0.2421 , 0.3990 , 7.4892 
SPTM,1CBL, 0.6050 , 6.5656 , 0.9432 , 0.9432 , 54.4167 , 0.6778 , 1.9619 , 1.1146 , 0.8500 , 10.8500 
SPTM,1CPT, 0.6620 , 2.2818 , 1.3949 , 5.3056 , 15.9268 , 0.1320 , 2.8263 , 1.5840 , 1.5700 , 27.8389 
SPTM,1VNL, 0.0737 , 0.6322 , 0.3001 , 0.6541 , 8.5922 , 0.0043 , 0.5199 , 0.2157 , 0.1688 , 22.0712 
SPW,1CBL, 0.1986 , 1.0135 , 0.5344 , 0.5022 , 10.9065 , 0.1759 , 1.6158 , 1.0566 , 0.7800 , 13.8399 
SPW,1CPT, 0.2966 , 2.3011 , 0.8537 , 0.8537 , 60.6400 , 0.1241 , 2.8480 , 1.3809 , 0.9400 , 77.0550 
SPW,1VNL, 0.0404 , 1.6094 , 0.2312 , 0.4281 , 78.8017 , 0.0070 , 1.0757 , 0.1527 , 0.0201 , 64.6694 
SPWV,1CBL, 0.8567 , 5.0514 , 0.9996 , 0.8941 , 87.8500 , 0.8500 , 3.6239 , 1.2685 , 0.8500 , 82.3700 
SPWV,1CPT, 1.3927 , 3.0173 , 1.5201 , 3.2964 , 49.3539 , 0.0444 , 2.6513 , 1.7373 , 1.6640 , 75.0400 
SPWV,1VNL, 0.1585 , 2.0183 , 0.4176 , 1.5949 , 127.8534 , 0.0040 , 0.4351 , 0.2222 , 0.1048 , 15.0862 
