supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
Mohawk Industries,1000016502,Mohawk Medella Hues (C2062) Healthy Environments Resilient 6' 7in 2.0mm - Indigo (H5351),ROLL,1VNL
Mohawk Industries,1000023112,MOHAWK LIVING LOCAL PREMIUM WOOD LUXURY VINYL PLANK C0194 7.72 X 51.97 2.4 MM 560 BISQUE WARE VINYL TILE,Vinyl Tile,1VNL
Engineered Floors LLC,1000023207,"J&J Flooring Classics II V5023 9"" x 48"" 20 Mil 1087 Ideal LVT",Vinyl Tile,1VNL
"Interface Americas, Inc.",192103-007,Interface Level Set tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Washed Wheat (A00207),LVP,1VNL
Mohawk Industries,1000009710,Mohawk Living Local Premium Wood (C0194) Luxury Vinyl Tile 20 mil 7.72in x 51.97in 2.5mm - Western Wood (123),LVT,1VNL
"Shaw Industries, Inc.",1000025277,"Shaw Contract Innate Stria TIle PCV-Free 16"" x 34"" 2.5mm 67516 Essential LVT",Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000018606,Shaw Contract Inlet 0926V	9in x 48in 26720 Thatch LVT,LVT,1VNL
"Shaw Industries, Inc.",1000025135,"Shaw Industries Uncommon Ground 6in"" x 36in"" (0188V) 20 MM Vinyl Tile - Provence (02140)",Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000025314,"Shaw Contract Quiet Cover 0186V 7"" x 48"" 5mm 00790 Black Walnut LVT",LVT,1VNL
"Shaw Industries, Inc.",1000025281,"Shaw Philadelphia Commerical Drive Time Plank 6"" x 48"" 20 Mil Drive Me LVT",Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000018882,"Shaw Contract - Reside 20 Mil 4381V - 6in"" x 47in"" - 20 mil - LVT - Abode (94506)",LVT,1VNL
"Shaw Industries, Inc.",1000017452,Patcraft Subtractive Layers Remove (I417V) 20mil Glue Down Heavy Commercial Luxury Squared Edge Vinyl Tile 12in x 24in 5mm - Neutral Tint (00130),LVT,1VNL
Engineered Floors LLC,200333-007,EF Contract Playbook (EFCPB) Heavy Commercial 7in x 48in 5.0mm - CLOUD (009),LVT,1VNL
"Shaw Industries, Inc.",191889-004,Shaw Patcraft Timber Grove II (I420V) 12 Mil Glue Down 6in x 48in 2.5 MM - Hemlock (00572),VCT,1VNL
Mohawk Industries,1000023880,Mohawk Living Local Premium Wood (C0194) Luxury Vinyl Plank 7.72in x 51.97in 838 Beagle,Vinyl Tile,1VNL
Mohawk Industries,1000024048,Mohawk Hot & Heavy Grown Up (C0075) Loose Lay 9in x 59in 5.0mm - Vera (132),Vinyl Tile,1VNL
Mohawk Industries,214270-002,Mohawk Medella Hues (C2062) Healthy Environments Resilient 6' 7in 2.0 MM - Natural Grey (H5305),ROLL,1VNL
"Shaw Industries, Inc.",1000020433,Shaw Branching Out 5mm Acoustic (4256V) 20 mil Squared Edge 6in x 48in 5mm - Range Oak (56506),VCT,1VNL
"Shaw Industries, Inc.",1000025313,"Shaw Contract Terrain II 20 Mil 0454V 6"" x 48"" 20 Mil 00684 Pirch LVT",Vinyl Tile,1VNL
"Shaw Industries, Inc.",205916-008,Shaw Commercial Resilient Abide (4107V) Heavy Commercial 7in x 48in 20 mil - Anise Oak (07570),VCT,1VNL
"Shaw Industries, Inc.",1000020239,Shaw Tailored 4111V 12x24 3mm 11515 pleat LVT,LVT,1VNL
"Shaw Industries, Inc.",1000020017, SHAW INDUSTRIES JOY SQUARED 24in X 24in 20MIL 0993V SKY (93405),LVT,1VNL
"Shaw Industries, Inc.",1000020056,"Shaw Uncommon Ground 6 LVT (0188V) 6"" x 36"" 20mil - Heritage (02710)",LVT,1VNL
"Shaw Industries, Inc.",1000020252,Shaw Agate Tile 5T0151 8x36 14515 Galena,Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000025984,Philadelphia In The Grain II LVT (5525V) 6X48 2.5mm - Amaranth (00769),LVT,1VNL
