site_description,site,unit,unitclass,commodity_group,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M,source,statistic,metric
SPJ,SPJ,SQYD,Area,1CPT,1.7188929500862529,1.38542,1.3745541137123656,1.4476668537074069,0.5470208910818494,,,,,,recommended_median,1.4527721351386957,median
SPJ,SPJ,SQYD,Area,1CPT,2.1637325220014803,1.1248053997346936,1.3206609086544248,1.4476668537074069,0.5408635414393913,,,,,,recommended_wavg,1.2186272091355723,weighted average
SPJ,SPJ,SQYD,Area,1CPT,3.47256,1.4714922128142445,1.410532372480994,1.4476668537074069,0.5760389840934513,,,,,,recommended_q3,2.84139625,Q3
SPJ,SPJ,SQYD,Area,1CPT,,,,,,,,,,,recommended_min,1.2186272091355723,unknown
SPJ,SPJ,SQYD,Area,1CPT,,,,,,,,,,,recommended_middle,1.4527721351386957,unknown
SPJ,SPJ,SQYD,Area,1CPT,,,,,,,,,,,recommended_max,2.84139625,unknown
Norcross,SPN,SQYD,Area,1CPT,0.6047462264150943,0.5888610849056604,0.5649778301886793,0.5490926886792453,0.5332075471698113,0.5332075471698113,0.5332075471698113,0.5332075471698113,0.5332075471698113,0.5332075471698113,vendor,,baseline
SPN,SPN,SQYD,Area,1CPT,0.8388641625932595,0.659999999999999,0.5731662785696275,0.29144768275203,0.256345738671855,0.154880324570504,0.115651541937404,,,,georgia_historical_market_median,0.7800191676201544,median
SPN,SPN,SQYD,Area,1CPT,0.8934605144079714,0.6157537889496352,0.5849472856126983,0.39987047441585627,0.23284194909040695,0.154880324570504,0.115651541937404,,,,georgia_historical_market_wavg,0.5102937199557476,weighted average
SPN,SPN,SQYD,Area,1CPT,2.36214464882943,0.7800039959425811,0.8809835767445272,0.47572441177553904,0.2712061804264385,0.154880324570504,0.115651541937404,,,,georgia_historical_market_q3,1.779641513377925,Q3
SPN,SPN,SQYD,Area,1CPT,1.06719043151969,0.561926160149639,0.5731662785696275,0.3494979460592105,0.247893291610444,0.154880324570504,0.115651541937404,,,,all_states_historical_market_median,0.789551020408163,median
SPN,SPN,SQYD,Area,1CPT,1.0254956921162328,0.6092096531896187,0.9489431024954416,0.40168433292692945,0.2288696766907537,0.154880324570504,0.115651541937404,,,,all_states_historical_market_wavg,0.6117338338674433,weighted average
