po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code,est_commodity_group,est_discount_area,est_discount_cwt,est_estimated_area_cost,est_estimated_cwt_cost,est_freight_class_area,est_freight_class_cwt,est_freight_class_lbs,est_lbs,est_rate_area,est_rate_cwt,est_sqyd,est_uom
32683,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",208648-006,Shaw Contract Elevate Tile (5T388) Multi Level Pattern Loop 24in x 24in - Path (88555),1CPT,Carpet Tile,234.64,SQYD,352.71,Carpet_Tile_1CPT_SQYD,1CPT,1,1,180.32,201.49,L5C,,5C,871.1,0.7685,23.13,234.64,SQYD
33345,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",1000004973,Shaw Gather-Tapestry Tile (5T347) Multi-Level Pattern Cut/Loop Ecoworx backing 18in x 36in - Recollect (85215),1CPT,Carpet Tile,510.0,SQYD,690.17,Carpet_Tile_1CPT_SQYD,1CPT,1,1,382.5,339.67,5C,,1M,1893.38,0.75,17.94,510.0,SQYD
33612,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,126695,Tarkett USA Inc,1000005193,Tarkett Parallel Ray (11525) Stratatec Patterned Loop Modular Flex Aire Cushion 24in x 24in - White Out (45403),1CPT,Carpet Tile,6.67,SQYD,72.17,Carpet_Tile_1CPT_SQYD,1CPT,1,1,4.95,5.66,L5C,,L5C,24.76,0.7422,22.87,6.67,SQYD
34231,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",175905-007,Shaw Patcraft Walk Right In II (I0304) Needlebond 24in x 24in - Ebony (00595),1CPT,Carpet Tile,2.0,SQYD,15.01,Carpet_Tile_1CPT_SQYD,1CPT,1,1,1.54,1.88,L5C,,L5C,7.42,0.7685,25.37,2.0,SQYD
34608,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",141239-013,Interface Plain Weave (1381502500) Tufted Texture Loop 19.69in x 19.69in - Rustic (101085),1CPT,Carpet Tile,59.8,SQYD,237.34,Carpet_Tile_1CPT_SQYD,1CPT,1,1,45.96,56.32,L5C,,L5C,222.01,0.7685,25.37,59.8,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004776,Milliken Revelation Pathway PWY277 Forest 50cmx1m,1CPT,Carpet Tile,0.2,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,0.15,0.19,L5C,,L5C,0.74,0.7685,25.37,0.2,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004774,Milliken Revelation Pathway PWY52 Sail 50cmx1m,1CPT,Carpet Tile,0.45,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,0.35,0.42,L5C,,L5C,1.67,0.7685,25.37,0.45,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004777,Milliken Revelation Pathway PWY105 Crest 50cmx1m,1CPT,Carpet Tile,0.56,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,0.43,0.53,L5C,,L5C,2.08,0.7685,25.37,0.56,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004774,Milliken Revelation Pathway PWY52 Sail 50cmx1m,1CPT,Carpet Tile,225.0,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,172.91,193.21,L5C,,5C,835.31,0.7685,23.13,225.0,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004783,Milliken Pathway Revelation 01022555 Peppercorn 50cmx1m,1CPT,Carpet Tile,88.46,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,67.98,83.32,L5C,,L5C,328.41,0.7685,25.37,88.46,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004776,Milliken Revelation Pathway PWY277 Forest 50cmx1m,1CPT,Carpet Tile,120.0,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,92.22,113.02,L5C,,L5C,445.5,0.7685,25.37,120.0,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004777,Milliken Revelation Pathway PWY105 Crest 50cmx1m,1CPT,Carpet Tile,70.0,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,53.79,65.93,L5C,,L5C,259.88,0.7685,25.37,70.0,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004776,Milliken Revelation Pathway PWY277 Forest 50cmx1m,1CPT,Carpet Tile,4.78,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.67,4.5,L5C,,L5C,17.75,0.7685,25.37,4.78,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004783,Milliken Pathway Revelation 01022555 Peppercorn 50cmx1m,1CPT,Carpet Tile,1780.0,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,1313.11,746.73,1M,,5M,6608.25,0.7377,11.3,1780.0,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004783,Milliken Pathway Revelation 01022555 Peppercorn 50cmx1m,1CPT,Carpet Tile,0.84,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,0.65,0.79,L5C,,L5C,3.12,0.7685,25.37,0.84,SQYD
