po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,quantity,invoice_id,invoice_no,uom,comm1,comm2,commodity_group,commoditydescription,old_new,priority,classification,conversion_code,est_commodity_group,est_discount_area,est_discount_cwt,est_estimated_area_cost,est_estimated_cwt_cost,est_freight_class_area,est_freight_class_cwt,est_freight_class_lbs,est_lbs,est_rate_area,est_rate_cwt,est_sqyd,est_uom
138987,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",168031-007,Shaw Queen No Limits Tile (J0108) Textured Loop 24in x 24in - Everlasting (69401),218.65,1166309,3750318,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,811.74,Missing rate,Missing rate,218.65,SQYD
120760,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,121550,Mohawk Industries,1000004768,Mohawk Must Have (BC287) Weldlok 12' - Forward Bound (7559),47.67,1181505,C3103352,SQYD,1CBL,2CBL,1CBL,Carpet Roll,New Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,176.97,Missing rate,Missing rate,47.67,SQYD
120760,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,121550,Mohawk Industries,1000004768,Mohawk Must Have (BC287) Weldlok 12' - Forward Bound (7559),162.33,1181505,C3103352,SQYD,1CBL,2CBL,1CBL,Carpet Roll,New Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,602.65,Missing rate,Missing rate,162.33,SQYD
137143,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,102775,"Interface Americas, Inc.",194907-003,Interface World Woven WW890 (128240AK00) 25cm x 1m GlasBac - Charcoal Dobby (105385),66.98,1172720,2575649,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,248.66,Missing rate,Missing rate,66.98,SQYD
150900,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,102775,"Interface Americas, Inc.",206779-001,Interface Shishu Stitch (137480AK0Q) Tufted Texture Loop 25cm x 1m - Shade (106642),5.98,1169001,2578906,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,22.2,Missing rate,Missing rate,5.98,SQYD
128629,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000029427,"Patcraft Prologis Coal Mine (802Q0) Broadloom Multi-Level Pattern Loop Custom Pattern (36' Wide x 48"" Long) - Vertex (00575)",83.0,1167366,3467996,SQYD,1CPT,1CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,308.14,Missing rate,Missing rate,83.0,SQYD
135947,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000013928,Shaw Simply by Nature Accord (5A253) Broadloom ClassicBac Multi Level Pattern Loop 12' - Mirror Grey (94535),182.0,1167123,3637697,SQYD,1CBL,2CBL,1CBL,Carpet Roll,New Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,675.67,Missing rate,Missing rate,182.0,SQYD
138614,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000004600, Shaw Contract Accord (5A253) ClassicBac 12' - Metallic Beige (94760),98.0,1167088,3692356,SQYD,1CBL,2CBL,1CBL,Carpet Roll,New Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,363.82,Missing rate,Missing rate,98.0,SQYD
138711,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000031343,Shaw Contract Gradient (5A153) ClassicBac 12' - Slate (34597),100.0,1167091,3692357,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,371.25,Missing rate,Missing rate,100.0,SQYD
139436,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",182637-024,Shaw Contract Color Form (5T112) Multi Level Pattern Loop 9in x 36in - Disappear (81557),30.0,1166561,3750319,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,111.38,Missing rate,Missing rate,30.0,SQYD
155925,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000012769,Patcraft Artefact Etched (I0512) EcoWorx Tile Multi Level Pattern Loop Plank 12in x 48in - Watermark (00450),773.33,1194357,4140937,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,2870.99,Missing rate,Missing rate,773.33,SQYD
155744,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",202209-006,Shaw Contract Amend (5A252) ClassicBac 12' - Steel Grey (94530),75.0,1194531,4140939,SQYD,1CBL,2CBL,1CBL,Carpet Roll,New Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,278.44,Missing rate,Missing rate,75.0,SQYD
155900,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",198465-013,Shaw Contract Memory Tile (5T263) Multi Level Pattern Loop 24in x 24in - Slate (48557),85.33,1197553,4152587,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,316.79,Missing rate,Missing rate,85.33,SQYD
156421,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",215679-010,Shaw Contract In Tune Tile (5T496) Multi Level Pattern Loop 9in x 36in - Merge (50518),160.0,1197556,4152588,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,594.0,Missing rate,Missing rate,160.0,SQYD
156421,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",200842-009,Shaw Contract Offset Tile (5T296) Multi Level Pattern Loop 24in x 24in - Metallic Beige (94760),435.53,1197556,4152588,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,1616.91,Missing rate,Missing rate,435.53,SQYD
156656,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",207230-007,Shaw Contract-Vista Tile (5T380)-Multi Level Pattern Loop-9in x 36in-Opulent (71555),110.0,1197559,4152589,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,408.38,Missing rate,Missing rate,110.0,SQYD
156656,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",207230-009,Shaw Contract-Vista Tile (5T380)-Multi Level Pattern Loop-9in x 36in-Plateu (71585),490.0,1197559,4152589,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,1819.12,Missing rate,Missing rate,490.0,SQYD
156700,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000011078,Shaw Diffuse & Disperse (59575) Ecoworx Tile Multi Level Pattern Loop 24in x 24in - Road Trip  (75105),21.32,1197573,4152590,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,79.15,Missing rate,Missing rate,21.32,SQYD
134265,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",175713-003,Shaw Contract Portal Tile Eco (5T035) Undefined 24in x 24in - Ebony (34500),31.99,1166851,3595393,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,118.76,Missing rate,Missing rate,31.99,SQYD
140586,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",200669-010,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Mirror Grey (94535),168.88,1167122,3750321,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,626.97,Missing rate,Missing rate,168.88,SQYD
156708,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",201315-002,Shaw Contract Flat Weave (5T321) Multi Level Pattern Cut/Loop 9in x 36in - Wool (01105),20.0,1200217,4162802,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,74.25,Missing rate,Missing rate,20.0,SQYD
133534,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,121019,"Bentley Mills, Inc.",1000030508,Bentley Pageantry (4PAT40AA1K) 18x36 Afirma II Hardback - Alma Mater (404326),147.0,1203028,859280,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,545.74,Missing rate,Missing rate,147.0,SQYD
133534,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,121019,"Bentley Mills, Inc.",1000030507,Bentley Drumline (4DMT40AA1k) 18x36 Afirma II Hardback - Alma Mater (404326),304.5,1203028,859280,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,1130.46,Missing rate,Missing rate,304.5,SQYD
125966,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,122034,Engineered Floors LLC,204016-002,J&J Network Modular (1842) Kinetex Textile Composite 24in x 24in - Database (2851),1152.0,1204873,6-3853590,SQFT,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQFT,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,475.2,Missing rate,Missing rate,128.0,SQFT
143976,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000032849,Shaw Turn Key Prime (5A189) Broadloom Pattern Loop Classicbac 12' - Basic Black (88500),115.0,1166562,3837261,SQYD,1CBL,2CBL,1CBL,Carpet Roll,New Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,426.94,Missing rate,Missing rate,115.0,SQYD
139387,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000031694,Shaw Color at Work Il Chromatone Tile (5T444)  Multi-Level Pattern Loop Carpet Tile Ecoworx Tile 18in x 36in - Cyan Charcoal (07436),50.0,1166546,3877793,SQYD,1CPT,1CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,185.62,Missing rate,Missing rate,50.0,SQYD
139387,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",182402-004,Shaw Contract Color at Work Il Achromatic (5T107) Multi-Level Pattern Loop Carpet Tile Ecoworx Tile 18in x 36in - Charcoal (07555),305.0,1166546,3877793,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,1132.31,Missing rate,Missing rate,305.0,SQYD
157711,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000007875,Shaw Patcraft Orbital (I0379) EcoWorx Tile Multi Level Pattern Loop 24in x 24in - Satellite (00520),85.32,1206206,4205463,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,316.75,Missing rate,Missing rate,85.32,SQYD
132445,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,121550,Mohawk Industries,1000030289,Mohawk Color Sturdy 30 (BC574) 12' Weldlok - Study (30),64.0,1201785,C3352409,SQYD,1CBL,1CBL,1CBL,Carpet Roll,New Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,237.6,Missing rate,Missing rate,64.0,SQYD
136482,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,121550,Mohawk Industries,202146-008,Mohawk Draft Point (BT427) Tufted 24in x 24in - Pewter (959),21.32,1203906,C3430117,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,79.15,Missing rate,Missing rate,21.32,SQYD
156463,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,102775,"Interface Americas, Inc.",1000002615,Interface-Custom Shishu Stitch Tred Mor (CPT-421)-4ft 6in x 60ft (30SY),15.0,1196762,2585385,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,55.69,Missing rate,Missing rate,15.0,SQYD
156463,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,102775,"Interface Americas, Inc.",1000033061,Interface Large 12x24 Rug Kit 9274012999K375001 Haptic Indigo Carpet,35.88,1196762,2585385,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,133.2,Missing rate,Missing rate,35.88,SQYD
156463,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,102775,"Interface Americas, Inc.",206779-001,Interface Shishu Stitch (137480AK0Q) Tufted Texture Loop 25cm x 1m - Shade (106642),149.5,1196762,2585385,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,555.02,Missing rate,Missing rate,149.5,SQYD
156595,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,102775,"Interface Americas, Inc.",1000033061,Interface Large 12x24 Rug Kit 9274012999K375001 Haptic Indigo Carpet,35.88,1196775,2585386,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,133.2,Missing rate,Missing rate,35.88,SQYD
156595,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,102775,"Interface Americas, Inc.",1000002615,Interface-Custom Shishu Stitch Tred Mor (CPT-421)-4ft 6in x 60ft (30SY),15.0,1196775,2585386,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,55.69,Missing rate,Missing rate,15.0,SQYD
156595,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,102775,"Interface Americas, Inc.",206779-001,Interface Shishu Stitch (137480AK0Q) Tufted Texture Loop 25cm x 1m - Shade (106642),137.54,1196775,2585386,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,510.62,Missing rate,Missing rate,137.54,SQYD
143955,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000028996,Shaw Patcraft Unforgettable (802Q7) 12x48 - Urban Study (00590),31.99,1167367,3837264,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,118.76,Missing rate,Missing rate,31.99,SQYD
145243,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000033035,Shaw Patcraft Custom Carpet Tile (802P4-AD10) 24in x 24in Strataworx - 50 Shades of Grey,115.54,1166696,3887775,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,428.94,Missing rate,Missing rate,115.54,SQYD
155082,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",209122-002,Shaw Contract Jive Tile (5T412) Multi Level Pattern Cut/Loop 24in x 24in - Stride (12505),26.66,1204457,4193816,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,98.98,Missing rate,Missing rate,26.66,SQYD
155082,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",201682-003,Shaw Contract Respond Color (5T310) Undefined 9in x 36in - Deepest Skies (05486),205.0,1204457,4193816,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,761.06,Missing rate,Missing rate,205.0,SQYD
143192,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",211186-001,Shaw Contract Bisect Tile (5T448) Undefined 24in x 24in - Clay (06100),197.32,1210784,4226106,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,732.55,Missing rate,Missing rate,197.32,SQYD
122414,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000013915,Shaw Contract-Primary Tile (5T123)-Synthetic-24in x 24in-Storm Cloud (17597),74.66,1167351,3317526,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,277.18,Missing rate,Missing rate,74.66,SQYD
122378,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000013915,Shaw Contract-Primary Tile (5T123)-Synthetic-24in x 24in-Storm Cloud (17597),69.33,1167354,3317527,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,257.39,Missing rate,Missing rate,69.33,SQYD
123487,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,121550,Mohawk Industries,1000028253,Mohawk Color Sturdy 30 (BC574) 12' Weldlok - Polished Lapis (589),64.0,1201739,C3307153,SQYD,1CBL,2CBL,1CBL,Carpet Roll,New Commodity,Yes,Classified,Carpet_Roll_1CBL_SQYD,1CBL,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,237.6,Missing rate,Missing rate,64.0,SQYD
159926,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,102775,"Interface Americas, Inc.",1000006407,Interface First Option Meet (19DR302500) Tufted Textured Loop Glasbac 50cm x 50cm - Express Grey (Publix-185507),83.72,1215846,2589305,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,310.81,Missing rate,Missing rate,83.72,SQYD
161484,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",208648-003,Shaw Contract Elevate Tile (5T388) Multi Level Pattern Loop 24in x 24in - Deep Sky (88485),10.66,1215782,4257310,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,39.58,Missing rate,Missing rate,10.66,SQYD
160043,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000010708,Shaw Floor Architecture Bisect Tile (5T4480) Ecoworx Tile Multi-Level Pattern Loop 24in x 24in - River Rock (06481),202.54,1216314,4257311,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,751.93,Missing rate,Missing rate,202.54,SQYD
160772,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000012347,Shaw Bright Work Glimmer Tile (59329)  EcoWorx Multi Level Pattern Loop 24in x 24in - Moonlit (27505),42.66,1216502,4266941,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,158.38,Missing rate,Missing rate,42.66,SQYD
161214,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,122034,Engineered Floors LLC,1000035965,J&J Flooing Rhythm (7502) 24x24 - Toasted Almond (3634),64.0,1217683,6-4076854,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,237.6,Missing rate,Missing rate,64.0,SQYD
160772,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000012347,Shaw Bright Work Glimmer Tile (59329)  EcoWorx Multi Level Pattern Loop 24in x 24in - Moonlit (27505),106.66,1219163,4278409,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,395.98,Missing rate,Missing rate,106.66,SQYD
146744,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000022122,Shaw Bisect Tile (5T448) 24in x 24in Ecoworx Tile - Granite (06500),85.33,1166563,3909198,SQYD,100,100,100,Carpet Tile,Old Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,316.79,Missing rate,Missing rate,85.33,SQYD
147341,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",193276-006,Shaw Patcraft Skill (I0461) Multi Level Pattern Loop 24in x 24in - Expertise (00705),142.22,1165932,3920841,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,527.99,Missing rate,Missing rate,142.22,SQYD
148187,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",200669-013,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Metallic Beige (94760),124.43,1170681,3940289,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,461.95,Missing rate,Missing rate,124.43,SQYD
160398,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,103423,"Shaw Industries, Inc.",1000021436,Shaw Contract Uncover (5t150) Multi Level Pattern Cut/Loop 9i50535 Steeln x 36in,180.0,1216273,4257312,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,668.25,Missing rate,Missing rate,180.0,SQYD
162957,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,122034,Engineered Floors LLC,1000036485,Pentz Fast Break (7060T) 24in x 24in Nexus Modular - Slam Dunk (2150),40.0,1221969,1-4091014,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,148.5,Missing rate,Missing rate,40.0,SQYD
162801,2008,Received Not Yet Invoiced,FSU,Floor Sol Union,102775,"Interface Americas, Inc.",1000036102,Interface NF400 25cm x 1m Glassbac - Mineral (7848004),29.9,1219418,2590648,SQYD,1CPT,2CPT,1CPT,Carpet Tile,New Commodity,Yes,Classified,Carpet_Tile_1CPT_SQYD,1CPT,Missing rate,Missing rate,Missing rate entry,Missing rate entry,Missing rate,,Missing rate,111.0,Missing rate,Missing rate,29.9,SQYD
