SITE,SUPPLIER NO,PO NO,SHIP TO ZIP,PART NO,PART DESCRIPTION,PO INV QTY,INV UOM,Commodity Group,Description
SPW,2052,135727,32750,1000030023,SAR Floors Soma Collection 7x48 3 mm - Root (95),475.83,SF,1VNL,Vinyl
SPW,107776,135640,32750,126732-026,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Smokey Brown (51868),90,SF,1VNL,Vinyl
SPW,107776,135640,32750,126732-030,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Soft Cool Grey (51860),90,SF,1VNL,Vinyl
SPT,103423,135638,33605,192326-004,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Hemlock (00572),83.44,SF,1VNL,Vinyl
SPT,103423,135613,33605,188060-002,Shaw Contract Solitude (0648V) Luxury Resilient Planks 6in x 48in 13/64 - Cottonwood (48120),400,SF,1VNL,Vinyl
SPW,102775,135538,32750,191116-006,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Antique Light Oak (A00406),2018.25,SF,1VNL,Vinyl
SPW,103423,135509,32750,176570-008,Shaw Philadelphia Multiplicity Tile (54594) Level Loop 24in x 24in - Plentiful (00410),192,SY,1CPT,Carpet Tile
SPT,103423,135480,33605,1000009442,"SHAW\0454V TERRAIN II 20 MIL\00564 SHADE\6""X48""",500.64,SF,1VNL,Vinyl
SPT,103423,135480,33605,200941-006,Shaw Contract Array Tile (5T295) Multi Level Pattern Loop 24in x 24in - Steel Grey (94530),177.6,SY,1CPT,Carpet Tile
SPW,102775,135309,32750,1000030787,Interface Level Set Textured Stones (A003) Luxury Vinyl Plank 22 mil 50cm x 50cm 3 mm - Medium Concrete (09),1619.81,SF,1VNL,Vinyl
SPW,102775,135307,32750,1000030787,Interface Level Set Textured Stones (A003) Luxury Vinyl Plank 22 mil 50cm x 50cm 3 mm - Medium Concrete (09),1921.17,SF,1VNL,Vinyl
SPW,102775,135302,32750,1000030787,Interface Level Set Textured Stones (A003) Luxury Vinyl Plank 22 mil 50cm x 50cm 3 mm - Medium Concrete (09),1017.09,SF,1VNL,Vinyl
SPW,103423,135275,32750,191440-001,Shaw Contract Intent Tile (5T208) Multi Level Pattern Loop 24in x 24in - Stellar (08505),488.88,SY,1CPT,Carpet Tile
SPW,103423,135275,32750,192392-015,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Lark (05016),375.48,SF,1VNL,Vinyl
SPT,103423,135168,33605,209331-007,Shaw Contract Brio Plus (VE285) 6 mil SPC 7in x 48in 4.4mm - Greige Walnut (05078),138.65,SF,1VNL,Vinyl
SPW,103423,135167,32750,182402-004,Shaw Contract Achromatic (5T107) Undefined 18in x 36in - Charcoal (07555),305,SY,1CPT,Carpet Tile
SPW,103423,135090,32750,1000030037,Shaw Philadelphia On-Site (54802) 12' ClassicBac- Right On (02210),5,SY,1CPT,Carpet Tile
SPT,122034,135003,33605,190604-005,J&J Incognito (7069) Textured Patterned Loop 24in x 24in - Intelligence (1841),16,SY,1CPT,Carpet Tile
SPT,103423,134956,33605,203096-012,Shaw Contract Boundless (5T314) Multi-Level Pattern Dyed Loop 9in x 36in - Radiant (05515),80,SY,1CPT,Carpet Tile
SPT,103423,134956,33605,198752-009,Shaw Hospitality Designs Dream Tile (5T265) Multi Level Pattern Loop 24in x 24in - Greige (48516),47.97,SY,1CPT,Carpet Tile
SPJ,103423,134924,32256,208277-009,Shaw Contract Translate Tile (5T408) Multi Level Pattern Loop 9in x 36in - Message (05515),50,SY,1CPT,Carpet Tile
SPJ,103423,134924,32256,208201-005,Shaw Contract Subtext (5T409) Multi Level Pattern Loop 9in x 36in - Verse (05375),125,SY,1CPT,Carpet Tile
SPW,103423,134896,32750,206494-001,Shaw Patcraft Inset (I577V) 20 mil glue down 18in x 36in 5.0mm - Pure Gold (00100),810,SF,1VNL,Vinyl
SPW,103423,134891,32750,163592-022,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - River Front (75535),3103.98,SY,1CPT,Carpet Tile
SPW,103423,134891,32750,163592-022,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - River Front (75535),3103.98,SY,1CPT,Carpet Tile
SPW,103423,134861,32750,173722-003,Shaw Commercial Hard Surfaces Uncommon Ground 6 (0188V) Undefined 6in x 36in Undefined - Provence (02140),1960.75,SF,1VNL,Vinyl
SPJ,126695,134823,32256,188968-003,Centiva Event Series Classic Plank (ECK) Square Edge (SE) tural Grain (NG) 6in x 36in 3 MM - European Cherry (3307),396,SF,1VNL,Vinyl
SPW,103423,134572,32750,191531-003,Shaw Commercial Hard Surfaces Terrain II 12 MIL (0453V) LVT 6in x 48in 2.5 MM - Timber (00572),792.68,SF,1VNL,Vinyl
SPW,103423,134572,32750,204991-005,Shaw Contract Correspond (5T353) Multi Level Pattern Loop 24in x 24in - Fuse (52515),515.55,SY,1CPT,Carpet Tile
SPW,103423,134556,32750,202726-008,Shaw Commercial Resilient Compound 2.5 MM (4074V) Vinyl 24in x 24in 2.5 MM - Elevate (77518),748,SF,1VNL,Vinyl
SPW,103423,134534,32750,205932-003,Shaw Contract Habitat (5T390) Undefined 36.00in x 9.00in - Deep Sky (88485),75,SY,1CPT,Carpet Tile
SPT,102775,134449,33605,191116-027,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Antique Dark Oak (A00416),430.56,SF,1VNL,Vinyl
SPT,103423,134428,33605,194974-004,Shaw Patcraft Timber Grove II (I438V) 30 Mil Glue Down LVT 6in x 48in 3 MM - Hemlock (00572),35.76,SF,1VNL,Vinyl
SPT,103423,134345,33605,188060-012,Shaw Contract Solitude (0648V) Luxury Resilient Planks 6in x 48in 13/64 - Umber (48761),140,SF,1VNL,Vinyl
SPT,103269,134308,33605,191770-023,Six Degrees Flooring Surfaces Compass 28 Mil Embossed Glue Down 6in x 48in 3 MM - BOZEMAN (CP312_C04),2880,SF,1VNL,Vinyl
SPW,102775,134257,32750,212764-005,Interface Open Air 413 (1634302500) Tufted Texture Loop 50cm x 50cm - Natural (106998),155.48,SY,1CPT,Carpet Tile
SPT,103423,134252,33605,212124-008,Shaw Contract Hand In Hand (5T450) Multi Level Pattern Loop 18in x 36in - Merge (50518),15,SY,1CPT,Carpet Tile
SPT,107776,134197,33605,126732-022,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Washed Linen (51810),90,SF,1VNL,Vinyl
SPJ,108164,134103,32256,195197-012,Mannington Color Anchor Stride 20 mil Micro-Bevel Glue Down Plank 6in x 36in 2.5 MM - PEANUT SHELL (C133),1215,SF,1VNL,Vinyl
SPW,126695,134065,32750,189263-006,Tandus Abrasive Action II (02578) Accuweave Patterned Loop 24in x 24in - Winter Gray (19103),6.67,SY,1CPT,Carpet Tile
SPT,103423,134005,33605,191436-001,Shaw Contract Purpose Tile (5T209) Multi Level Pattern Loop 24in x 24in - Stellar (08505),106.67,SY,1CPT,Carpet Tile
SPT,121550,133931,33605,209976-001,Mohawk Reforestation (C0188) 20 mil glue down 9.25in x 59in 4.5 mm - Waterwheel (225),53.04,SF,1VNL,Vinyl
SPJ,108216,133778,32256,199319-005,Karndean Opus Wood Plank 20 Mil Microbeveled 9in x 48in 2.5 MM - SYLVA (WP417),1152,SF,1VNL,Vinyl
SPJ,101928,133776,32256,1000026809,Charles Van Gelder Dominator Non Woven Diagonal Ribbed 19.69in x 19.69in - Mid Grey (112),357.5,SF,1CPT,Carpet Tile
SPT,103423,133761,33605,203696-004,Shaw Commercial Resilient Reside 12 Mil (4094V) Resilient LVT/Plank 5.91in x 47.2in 5/64in - Dwelling (94250),11401.4,SF,1VNL,Vinyl
SPT,103423,133692,33605,1000022328,"SHAW\CARPET TILE\5T107 ACHROMATIC\18"" X 36""\COLOR- CHARCOAL (07555)",15,SY,100,Carpet Tiles
SPW,108164,133611,32750,200286-007,Mannington Charge Textured Patterned Loop 18in x 36in - Surface (82361),16,SY,1CPT,Carpet Tile
SPW,103423,133481,32750,175713-005,Shaw Contract Portal Tile Eco (5T035) Undefined 24in x 24in - Sterling (34557),31.98,SY,1CPT,Carpet Tile
SPT,121550,133404,33605,211212-002,Mohawk Living Local Premium Wood (C0194) Luxury Vinyl Plank 7.72in x 51.97in 2.4 MM - Shadow (096),688.18,SF,1VNL,Vinyl
SPT,103423,133395,33605,196889-002,Shaw Patcraft Rebalance (I0500) Multi Level Pattern Loop 24in x 24in - Stone Hearth (00550),275.55,SY,1CPT,Carpet Tile
SPT,126695,133208,33605,1000030399,"TARKETT/LVT/EVENT + WOOD CRAFTED LVT PLANK/48"" X 6"" X 30mil/COLOR: SAVANNAH (#11212)/PLANK",11465,SF,2LVT,LVT
SPW,103423,133103,32750,204197-004,Shaw Patcraft Anew (I542V) 20 mil Lvt glue down 7.75in x 48in 2.5 MM - Slate (00550),270.9,SF,1VNL,Vinyl
SPW,103423,133103,32750,204294-004,Shaw Patcraft Inclusion (I0555) Multi Level Pattern Loop 24in x 24in - Azurite (00450),26.67,SY,1CPT,Carpet Tile
SPW,103423,132876,34787,213784-001,Shaw Contract Union (4349V) Heavy Commercial 9in x 48in 20 mil - Concrete Valley (49103),216,SF,1VNL,Vinyl
SPW,103423,132876,34787,212124-001,Shaw Contract Hand In Hand (5T450) Multi Level Pattern Loop 18in x 36in - Include (50100),50,SY,1CPT,Carpet Tile
SPW,108164,132695,32750,211988-033,Mannington Amtico Abstract (Sigture) 40 Mil Unbevelled LVT 18in x 48in 2.5 MM - Patina Vapour (AR0APT31),252,SF,1VNL,Vinyl
SPT,103423,132540,33605,190557-001,Shaw Commercial Hard Surfaces Intricate (0692V) Luxury Vinyl Tile 12in x 24in 2.5 MM - Bone (92156),468.93,SF,1VNL,Vinyl
SPJ,102775,132246,32256,195433-003,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Pepper (03),2125.89,SF,1VNL,Vinyl
SPJ,102775,132246,32256,195433-003,Interface Studio Set (A007xx) 22 mil vinyl plank 25cm x 1m 4.5 mm - Pepper (03),2125.89,SF,1VNL,Vinyl
SPW,103423,132155,32750,1000030020,ShawContract Hand Stitch Connected Threads (5T516) 9x36 Synthetic - Reworked (16535),275,SY,1CPT,Carpet Tile
SPJ,103423,132142,32256,183733-016,Shaw Patcraft Brookwood + (I319V) Vinyl 6' Undefined - Amber (05303),20,SY,1VNL,Vinyl
SPW,103423,132112,32750,1000030037,Shaw Philadelphia On-Site (54802) 12' ClassicBac- Right On (02210),23,SY,1CPT,Carpet Tile
SPJ,103423,132084,32256,176647-024,Shaw Patcraft Highland Forest 6in (I800V) Vinyl Tile Plank 6in x 48in 3/32in - Walnut (20700),179.75,SF,1VNL,Vinyl
SPW,103423,132031,32750,161445-003,Shaw Tile Transparent Tile (59563) Undefined 24in x 24in - Moonstone (62500),32,SY,1CPT,Carpet Tile
SPT,103423,131896,33605,159372-037,Shaw Contract Gradient (5A153) ClassicBac 12' - Slate (34597),180,SY,1CBL,Carpet BL
SPT,103423,131894,33605,192392-002,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Root (00568),3003.84,SF,1VNL,Vinyl
SPJ,103423,131731,32256,176647-024,Shaw Patcraft Highland Forest 6in (I800V) Vinyl Tile Plank 6in x 48in 3/32in - Walnut (20700),71.9,SF,1VNL,Vinyl
SPW,103423,131689,32750,191440-001,Shaw Contract Intent Tile (5T208) Multi Level Pattern Loop 24in x 24in - Stellar (08505),160,SY,1CPT,Carpet Tile
SPW,103423,131689,32750,192392-003,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Timber (00572),750.96,SF,1VNL,Vinyl
SPW,121550,131676,32750,211212-011,Mohawk Living Local Premium Wood (C0194) Luxury Vinyl Plank 7.72in x 51.97in 2.4 MM - Sandy (829),217.32,SF,1VNL,Vinyl
SPW,103423,131665,32750,200940-006,Shaw Contract Structure Tile (5T297) Multi Level Pattern Loop 24in x 24in - Steel Grey (94530),2266.64,SY,1CPT,Carpet Tile
SPW,118209,131635,32750,184656-054,Flor Made You Look (21-1361) Cut & Loop Pile 19.7in x 19.7in - Black (Black),251.16,SY,1CPT,Carpet Tile
SPT,103423,131415,33605,192392-005,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Echo (00775),584.08,SF,1VNL,Vinyl
SPW,107768,131408,32750,201934-001,Milliken Obex CutX Fizz Tufted Cut Pile 50cm x 50cm - Dark Grey (FZX118-119),3.59,SY,1CPT,Carpet Tile
SPW,104804,131341,32750,1000029925,Aspecta Chambord 8.46in x 42.33in - Chambord Riviere (6616731X),2029.8,SF,1VNL,Vinyl
SPW,104804,131341,32750,1000029925,Aspecta Chambord 8.46in x 42.33in - Chambord Riviere (6616731X),2029.8,SF,1VNL,Vinyl
SPT,108164,131315,33605,1000025350,"MANNINGTON COMMERCIAL\COLORCAST\18"" X 36""\COLOR- SWELL HYDRO 34258",40,SY,100,Carpet Tiles
SPJ,103423,131098,32256,163592-020,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - Passport (75597),26.65,SY,1CPT,Carpet Tile
SPT,103423,131034,33605,191440-003,Shaw Contract Intent Tile (5T208) Multi Level Pattern Loop 24in x 24in - Nocturne (08557),405.88,SY,1CPT,Carpet Tile
SPW,103423,130905,32750,163592-012,Shaw Tile Diffuse (59575) Multi-Level Pattern Dyed Loop 24in x 24in - Flutter (75761),565.29,SY,1CPT,Carpet Tile
SPW,103423,130435,32750,202842-001,Shaw Patcraft Mark Making (I509V) 20 Mil Luxury Vinyl Plank 5.96in x 48in 5.0mm - Almond (00150),560,SF,1VNL,Vinyl
SPW,102775,130363,32750,198004-004,Interface turally Weathered (39400AK00) Tufted Patterned Loop 25cm x 1m - Burnt Ember (106022),275.08,SY,1CPT,Carpet Tile
SPW,102775,130363,32750,191893-018,Interface tural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Washed Wheat (A00207),1614.6,SF,1VNL,Vinyl
SPW,102775,130363,32750,1000013800,Interface Static Lines Carpet Tile Plank  (258270-287 / 118669) - Custom,155.48,SY,1CPT,Carpet Tile
SPT,102775,130290,33605,197292-007,Interface Drawn Lines (A009xx) 22 mil Commercial Ceramor 25cm x 1m 4.5 mm - Onyx (07),26.91,SF,1VNL,Vinyl
SPT,102775,130290,33605,197292-008,Interface Drawn Lines (A009xx) 22 mil Commercial Ceramor 25cm x 1m 4.5 mm - Silver (08),53.82,SF,1VNL,Vinyl
SPT,1104,130109,33605,1000029827,CURRAN-SISAL TILE-VINYL-19.7IN X 19.7IN-MACADEMIA,172.12,SF,2LVT,LVT
SPW,103423,130096,32750,192392-023,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Graphite (00580),667.52,SF,1VNL,Vinyl
SPW,103423,129934,32750,190084-005,Shaw Commercial Hard Surfaces Unveil (0601V) 30 mil Luxury Vinyl Tile 9in x 36in 3 MM - Weathered (01405),36,SF,1VNL,Vinyl
SPW,118209,129768,32750,214016-002,Flor Hard Lines (21-1526) high low Pile random Pattern 19.69in x 19.69in - Beige (B),17.94,SY,1CPT,Carpet Tile
SPT,107776,129753,33605,210449-001,Armstrong Biome Montane 0.020in Wear Layer Diamond 10 LVT 6in x 48in 2.5 MM - KILIMANJARO (ST252),396,SF,1VNL,Vinyl
SPT,108164,129752,33605,1000014892,Mannington Spacia Wood 6in X 36in 2.5MM - Windsor Oak Shore (SS5W12373),600,SF,1VNL,Vinyl
SPW,103423,129749,32750,192392-008,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Thatch (00173),1543.64,SF,1VNL,Vinyl
SPW,103423,129714,32750,200669-004,Shaw Contract Arrange Tile (5T294) Multi Level Pattern Loop 24in x 24in - Shimmery Blue (94485),186.66,SY,1CPT,Carpet Tile
SPT,108164,129638,33605,1000025350,"MANNINGTON COMMERCIAL\COLORCAST\18"" X 36""\COLOR- SWELL HYDRO 34258",20,SY,100,Carpet Tiles
SPT,126695,129609,33605,188454-002,Tandus Abrasive Action II (02578) Powerbond Cushion 6' - Midnight Blue (19101),23,SY,1CBL,Carpet BL
SPW,103423,129498,32750,192326-013,Shaw Patcraft Timber Grove II (I421V) 20 mil glue down 6in x 48in 2.5 MM - Courtyard (07005),125.16,SF,1VNL,Vinyl
SPT,103423,129136,33605,199063-007,Shaw Contract Convene Tile (5T269) Multi Level Pattern Loop 12in x 48in - Clear Interaction (67518),5.33,SY,1CPT,Carpet Tile
SPT,103423,128997,33605,188060-005,Shaw Contract Solitude (0648V) Luxury Resilient Planks 6in x 48in 13/64 - Fawn (48516),3780,SF,1VNL,Vinyl
SPT,103423,128914,33605,191436-001,Shaw Contract Purpose Tile (5T209) Multi Level Pattern Loop 24in x 24in - Stellar (08505),755.55,SY,1CPT,Carpet Tile
SPT,103423,128914,33605,184784-005,Shaw Commercial Hard Surfaces Strand (0516V) Luxury Vinyl Plank 18in x 36in 20 mil - Silt (16595),810,SF,1VNL,Vinyl
SPW,103423,128895,32750,192392-003,Shaw Commercial Hard Surfaces Terrain II 20 MIL (0454V) 20 mil glue down 6in x 48in 2.5 MM - Timber (00572),458.92,SF,1VNL,Vinyl
SPW,103423,128895,32750,204991-005,Shaw Contract Correspond (5T353) Multi Level Pattern Loop 24in x 24in - Fuse (52515),639.99,SY,1CPT,Carpet Tile
SPW,103423,128895,32750,204991-005,Shaw Contract Correspond (5T353) Multi Level Pattern Loop 24in x 24in - Fuse (52515),639.99,SY,1CPT,Carpet Tile
SPW,103423,128850,32750,216167-002,Shaw Contract Hub Accent (5T460) Multi Level Pattern Loop 24in x 24in - Action Blue (57584),1893.31,SY,1CPT,Carpet Tile
SPT,102066,128689,33605,208615-007,Novalis Innovative Flooring AVA 2DSGN 22 mil Microbevel Register 6in x 48in 2.5 MM - TUSCANY OAK MIST (TO2D002),64,SF,1VNL,Vinyl
SPT,107776,128687,33605,126732-036,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Sterling (51904),360,SF,1VNL,Vinyl
SPW,103423,128598,32750,188243-007,Shaw Contract Scribe (5A215) ClassicBac PC 12' - Graphite (15510),330,SY,1CBL,Carpet BL
