,PART_NO,DESCRIPTION,MFR,manufacturer_name,STYLE,COMPOSITION,WIDTH,COLOR,TYPE,SIZE,GAUGE,FACE WEIGHT,COLLECTION,DEPTH,BACKING,FINISH,SITE,PART STATUS,PART TYPE,COMMODITY 1,COMMODITY 2,comm1_label,comm2_label,PRODUCT CODE,PRODUCT_FAMILY,INV UoM,PURCH UoM,CONV FACTOR,PRIMARY SUPPLIER,SUPPLIER NAME,NET WEIGHT,NET VOLUME,Manufacturer,miscellaneous,material_part,ext_manufacturer,manufacturer_match,windbid,name,part_number,product_type,form,dimensions,color,color_code,collection,product_name,backing,processed_flag
392077,1000037823,Interface Third Space 303 (1680702500) 50cm x 50cm GlasBac - Amber (107884),INTF,Interface,,,,,,,,,,,,,SPTG,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,,,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Third Space 303,1680702500,,,50cm x 50cm,Amber,107884,,,GlasBac ,Processed
285635,195434-002,Interface Native Fabric (A008xx) Luxury Vinyl Plank 22 mil 50cm x 50cm 4.5 mm - Seagrass (02),INTF,Interface,9354 - Native Fabric,,,64340 - Seagrass (02),1438 - Luxury Vinyl Plank 22 mil,825 - 50cm x 50cm,181 - 4.5 mm,,,,,,SPCB,A,Purchased,1VNL,2VCT,Vinyl,VCT,*,*,SF,,,,,,,INTF,False,False,Interface,True,No,Native Fabric,A008xx,Luxury,Vinyl Plank 22 mil ,50cm x 50cm 4.5 mm,Seagrass,02,,,,Processed
299021,181828-004,Interface Cartera Pattern Library MO575 (MO575) Undefined 19.69in x 19.69in - Cilantro (101514),INTF,Interface,3393 - Cartera Pattern Library MO575,,,116839 - Cilantro (101514),2060 - Undefined,494 - 19.69in x 19.69in,,152 - Undefined,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Cartera Pattern Library MO575,MO575,Undefined,19,.69in x 19.69in,Cilantro,101514,,,,Processed
268514,188990-004,Interface CE172 (13880AK00) Tufted Tip-Sheared 25cm x 1m - Kimono (104957),INTF,Interface,778 - CE172,,,1561 - Kimono (104957),2039 - Tufted Tip-Sheared,903 - 25cm x 1m,,42 - 23 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,,,,,,,INTF,False,False,Interface,True,No,CE172,13880AK00,Tufted,Tip-Sheared ,25cm x 1m,Kimono,104957,,,,Processed
231298,104065-029,Interface Caribbean (16607) 6'6in - Aruba (3074),INTF,Interface,3375 - Caribbean,,87 - 6'6in,58555 - Aruba (3074),2029 - Tufted Textured Loop,,,43 - 24 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Caribbean,16607,,,6'6in,Aruba,3074,,,,Processed
68995,036374,INTERFACE\EVEN PATH STONES\A07008 MERCURY\50CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,0302,03,CTN,SF,0.046511628,100796,DNU (102775) Interface Americas,,,INTF,False,False,INTERFACE,True,Yes,,,,,50CMX1M,,,EVEN PATH STONES,A07008 MERCURY,,Processed
312196,170925-024,Interface Smithfield Strip GlasBac (1416002500) Tufted Sheared 19.69in x 19.69in - Shropshire (102745),INTF,Interface,5642 - Smithfield Strip GlasBac,,,88078 - Shropshire (102745),2021 - Tufted Sheared,494 - 19.69in x 19.69in,,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Smithfield Strip GlasBac,1416002500,Tufted,Sheared ,19.69in x 19.69in,Shropshire,102745,,,,Processed
397451,208758-016,Interface Shiver Me Timbers Unbacked 6.56' - Hickory (103936),INTF,Interface,10512 - Shiver Me Timbers,,93 - 6.56',65739 - Hickory (103936),2646 - Tufted Tip Sheared,,,28 - 18 oz.,,,173 - Unbacked,,SPW,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,,,,,,,,,,,Not Processed
2064,124047-000,Interface Jakarta II (16171) Tufted Tip Shear 19.69in x 19.69in - To Be Selected (TBS),INTF,Interface,3786 - Jakarta II,,,118967 - To Be Selected (TBS),2645 - Tufted Tip Shear,494 - 19.69in x 19.69in,,43 - 24 oz.,,,175 - Undefined,,BNB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,,,,,,,INTF,False,False,Interface,True,No,Jakarta II,16171,Tufted,Tip Shear ,19.69in x 19.69in,To Be Selected,TBS,,,,Processed
128748,177861-001,Interface Net Effect B603 GlasBac (1266802500) Tufted Patterned Loop 50cm x 50cm - Black Sea (102920),INTF,Interface,9422 - Net Effect B603 GlasBac,,,14777 - Black Sea (102920),2014 - Tufted Patterned Loop,825 - 50cm x 50cm,,42 - 23 oz.,,,175 - Undefined,,PARTS,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,INTF,False,False,Interface,True,No,Net Effect B603 GlasBac,1266802500,Tufted,Patterned Loop ,50cm x 50cm,Black Sea,102920,,,,Processed
