Column1,PART_NO,DESCRIPTION,MFR,manufacturer_name,STYLE,COMPOSITION,WIDTH,COLOR,TYPE,SIZE,GAUGE,FACE WEIGHT,COLLECTION,DEPTH,BACKING,FINISH,SITE,PART STATUS,PART TYPE,COMMODITY 1,COMMODITY 2,comm1_label,comm2_label,PRODUCT CODE,PRODUCT_FAMILY,INV UoM,PURCH UoM,CONV FACTOR,PRIMARY SUPPLIER,SUPPLIER NAME,NET WEIGHT,NET VOLUME,Manufacturer,miscellaneous,material_part,ext_manufacturer,manufacturer_match,windbid,name,part_number,product_type,form,dimensions,color2,color_code,collection3,product_name,backing4
285635,195434-002,Interface Native Fabric (A008xx) Luxury Vinyl Plank 22 mil 50cm x 50cm 4.5 mm - Seagrass (02),INTF,Interface,9354 - Native Fabric,,,64340 - Seagrass (02),1438 - Luxury Vinyl Plank 22 mil,825 - 50cm x 50cm,181 - 4.5 mm,,,,,,SPCB,A,Purchased,1VNL,2VCT,Vinyl,VCT,*,*,SF,,,,,,,INTF,FALSE,FALSE,Interface,TRUE,No,,,,,,,,,,
299021,181828-004,Interface Cartera Pattern Library MO575 (MO575) Undefined 19.69in x 19.69in - Cilantro (101514),INTF,Interface,3393 - Cartera Pattern Library MO575,,,116839 - Cilantro (101514),2060 - Undefined,494 - 19.69in x 19.69in,,152 - Undefined,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,Cartera Pattern Library MO575,MO575,Undefined,19,.69in x 19.69in,Cilantro,101514,,,
268514,188990-004,Interface CE172 (13880AK00) Tufted Tip-Sheared 25cm x 1m - Kimono (104957),INTF,Interface,778 - CE172,,,1561 - Kimono (104957),2039 - Tufted Tip-Sheared,903 - 25cm x 1m,,42 - 23 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,,,,,,,INTF,FALSE,FALSE,Interface,TRUE,No,,,,,,,,,,
231298,104065-029,Interface Caribbean (16607) 6'6in - Aruba (3074),INTF,Interface,3375 - Caribbean,,87 - 6'6in,58555 - Aruba (3074),2029 - Tufted Textured Loop,,,43 - 24 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,,,,,,,,,,
68995,36374,INTERFACE\EVEN PATH STONES\A07008 MERCURY\50CMX1M,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,,,302,3,CTN,SF,0.046511628,100796,DNU (102775) Interface Americas,,,INTF,FALSE,FALSE,INTERFACE,TRUE,Yes,,,,,50CMX1M,,,EVEN PATH STONES,A07008 MERCURY,
312196,170925-024,Interface Smithfield Strip GlasBac (1416002500) Tufted Sheared 19.69in x 19.69in - Shropshire (102745),INTF,Interface,5642 - Smithfield Strip GlasBac,,,88078 - Shropshire (102745),2021 - Tufted Sheared,494 - 19.69in x 19.69in,,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,Smithfield Strip GlasBac,1416002500,Tufted,Sheared ,19.69in x 19.69in,Shropshire,102745,,,
397451,208758-016,Interface Shiver Me Timbers Unbacked 6.56' - Hickory (103936),INTF,Interface,10512 - Shiver Me Timbers,,93 - 6.56',65739 - Hickory (103936),2646 - Tufted Tip Sheared,,,28 - 18 oz.,,,173 - Unbacked,,SPW,A,Purchased,1CBL,2CBL,Carpet BL,Carpet BL,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,,,,,,,,,,
2064,124047-000,Interface Jakarta II (16171) Tufted Tip Shear 19.69in x 19.69in - To Be Selected (TBS),INTF,Interface,3786 - Jakarta II,,,118967 - To Be Selected (TBS),2645 - Tufted Tip Shear,494 - 19.69in x 19.69in,,43 - 24 oz.,,,175 - Undefined,,BNB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,,,,,,,INTF,FALSE,FALSE,Interface,TRUE,No,Jakarta II,16171,Tufted,Tip Shear ,19.69in x 19.69in,To Be Selected,TBS,,,
128748,177861-001,Interface Net Effect B603 GlasBac (1266802500) Tufted Patterned Loop 50cm x 50cm - Black Sea (102920),INTF,Interface,9422 - Net Effect B603 GlasBac,,,14777 - Black Sea (102920),2014 - Tufted Patterned Loop,825 - 50cm x 50cm,,42 - 23 oz.,,,175 - Undefined,,PARTS,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,Net Effect B603 GlasBac,1266802500,Tufted,Patterned Loop ,50cm x 50cm,Black Sea,102920,,,
395967,1000027716,Interface Step Repeat (SR699) 25cm x 1cm - Dark Brown (104913),INTF,Interface,,,,,,,,,,,,,SPTM,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,,,,,,,,,,
65083,11979,INTERFACE\SR899 STEP REPEAT\104939 GRANITE\50CMX50CM,INTF,Interface,,,,,,,,,,,,,CTS,O,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,102,1,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,INTF,FALSE,FALSE,INTERFACE,TRUE,Yes,,,,,50CMX50CM,,,SR899 STEP REPEAT,104939 GRANITE,
267479,204211-004,Interface Mercer Street (1427902500) Tufted Pattern Loop 19.69in x 19.69in - Steel Circle (105765),INTF,Interface,4217 - Mercer Street,,,91356 - Steel Circle (105765),2630 - Tufted Pattern Loop,494 - 19.69in x 19.69in,,42 - 23 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,Mercer Street,1427902500,Tufted,Pattern Loop ,19.69in x 19.69in,Steel Circle,105765,,,
249477,150801-014,Interfaceflor 1st Avenue (13717) Tufted Cut Pile 19.69in x 19.69in - Teal (8149),IFFR,Interfaceflor,17 - 1st Avenue,,,93064 - Teal (8149),1998 - Tufted Cut Pile,494 - 19.69in x 19.69in,,152 - Undefined,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,IFFR,FALSE,FALSE,Interfaceflor,TRUE,No,1st Avenue,13717,Tufted,Cut Pile ,19.69in x 19.69in,Teal,8149,,,
253426,168110-003,Interface S102 GlasBac RE (142410250H) Tufted Patterned Loop 19.69in x 19.69in - Grey (9528),INTF,Interface,10317 - S102 GlasBac RE,,,113316 - Grey (9528),2014 - Tufted Patterned Loop,494 - 19.69in x 19.69in,,21 - 16 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,Carpet Tile,Carpet Tile,*,*,SY,SY,1,102775,"Interface Americas, Inc.",,,INTF,FALSE,FALSE,Interface,TRUE,No,S102 GlasBac RE,142410250H,Tufted,Patterned Loop ,19.69in x 19.69in,Grey,9528,,,
