site_description,site,site_description,unit,unitclass,freightclass,oldfreightclass,commodity_group,commodity_description,origin,origin_zip,destination,destination_zip,minimum_charge,ftl_flat_rate,old_discount,new_discount,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
Floor Sol Union,FSU,,CWT,Weight,70,40,1VNL,VCT,GA,30720,NC,24707,95.35,1362.91,0,0,18.69,17.03,13.21,10.62,10.62,8.32,6.94,6.94,6.94,6.94
Floor Sol Union,FSU,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,NC,24707,123.04,1362.91,0,0,1.2701,1.2492,1.2283,1.2076,1.1556,1.1556,1.1556,1.1556,1.1556,1.1556
Floor Sol Union,FSU,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,NC,24707,123.04,1362.91,0,0,2.1592,2.1237,2.0882,2.0528,1.9645,1.9645,1.9645,1.9645,1.9645,1.9645
Kenny Floor Covering,KFC,,CWT,Weight,70,40,1VNL,LVT,GA,30720,TN,38112,112.46,1064.4,0.7354,0.7595,20.07,18.3,13.6,10.25,8.16,8.16,6.91,6.91,6.91,6.91
Kenny Floor Covering,KFC,,CWT,Weight,70,40,1VNL,LVP,GA,30720,TN,38112,112.46,1064.4,0.7354,0.7595,20.07,18.3,13.6,10.25,8.16,8.16,6.91,6.91,6.91,6.91
Kenny Floor Covering,KFC,,CWT,Weight,70,40,1VNL,VCT,GA,30720,TN,38112,112.46,1064.4,0.7354,0.7595,20.07,18.3,13.6,10.25,8.16,8.16,6.91,6.91,6.91,6.91
Kenny Floor Covering,KFC,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,TN,38112,112.19,1064.4,0.7354,0.7595,0.5953,0.5856,0.5758,0.566,0.5417,0.5953,0.5856,0.5758,0.566,0.5417
Kenny Floor Covering,KFC,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,TN,38112,112.19,1064.4,0.7354,0.7595,1.0121,0.9954,0.9788,0.9622,0.9208,1.0121,0.9954,0.9788,0.9622,0.9208
Spectra Pelham,SPP,,CWT,Weight,70,40,1VNL,LVT,GA,30720,AL,35244,112.46,904.4,0.7134,0.7394,16.4,14.95,11.11,8.37,6.67,6.67,5.64,5.64,5.64,5.64
Spectra Pelham,SPP,,CWT,Weight,70,40,1VNL,LVP,GA,30720,AL,35244,112.46,904.4,0.7134,0.7394,16.4,14.95,11.11,8.37,6.67,6.67,5.64,5.64,5.64,5.64
Spectra Pelham,SPP,,CWT,Weight,70,40,1VNL,VCT,GA,30720,AL,35244,112.46,904.4,0.7134,0.7394,16.4,14.95,11.11,8.37,6.67,6.67,5.64,5.64,5.64,5.64
Spectra Pelham,SPP,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,AL,35244,116.87,904.4,0.7134,0.7394,0.6614,0.6491,0.6306,0.6182,0.6058,0.6614,0.6491,0.6306,0.6182,0.6058
Spectra Pelham,SPP,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,AL,35244,116.87,904.4,0.7134,0.7394,1.1245,1.1034,1.072,1.0509,1.0298,1.1245,1.1034,1.072,1.0509,1.0298
RD Weis Hawthorn,RDW,,CWT,Weight,70,40,1VNL,LVT,GA,30720,NY,10532,101.96,3204.63,0.7795,0.7995,32.69,30.36,25.52,19.5,15.43,15.43,13.63,13.63,13.63,13.63
RD Weis Hawthorn,RDW,,CWT,Weight,70,40,1VNL,LVP,GA,30720,NY,10532,101.96,3204.63,0.7795,0.7995,32.69,30.36,25.52,19.5,15.43,15.43,13.63,13.63,13.63,13.63
RD Weis Hawthorn,RDW,,CWT,Weight,70,40,1VNL,VCT,GA,30720,NY,10532,101.96,3204.63,0.7795,0.7995,32.69,30.36,25.52,19.5,15.43,15.43,13.63,13.63,13.63,13.63
RD Weis Hawthorn,RDW,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,NY,10532,86,3204.63,0.7795,0.7995,0.6747,0.6688,0.663,0.6513,0.6455,0.6747,0.6688,0.663,0.6513,0.6455
RD Weis Hawthorn,RDW,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,NY,10532,86,3204.63,0.7795,0.7995,1.1469,1.137,1.1271,1.1072,1.0973,1.1469,1.137,1.1271,1.1072,1.0973
Spectra Harrisburg,SPB,,CWT,Weight,70,40,1VNL,LVT,GA,30720,PA,17111,101.98,2232.33,0.7795,0.7995,24.78,22.59,17.52,14.09,11.04,11.04,9.2,9.2,9.2,9.2
Spectra Harrisburg,SPB,,CWT,Weight,70,40,1VNL,LVP,GA,30720,PA,17111,101.98,2232.33,0.7795,0.7995,24.78,22.59,17.52,14.09,11.04,11.04,9.2,9.2,9.2,9.2
Spectra Harrisburg,SPB,,CWT,Weight,70,40,1VNL,VCT,GA,30720,PA,17111,101.98,2232.33,0.7795,0.7995,24.78,22.59,17.52,14.09,11.04,11.04,9.2,9.2,9.2,9.2
Spectra Harrisburg,SPB,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,PA,17111,71.66,2232.33,0.7795,0.7995,0.7633,0.7488,0.7391,0.7294,0.7101,0.7633,0.7488,0.7391,0.7294,0.7101
Spectra Harrisburg,SPB,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,PA,17111,71.66,2232.33,0.7795,0.7995,1.2976,1.273,1.2565,1.24,1.2073,1.2976,1.273,1.2565,1.24,1.2073
